,protein1,protein2,id1,id2
0,9606.ENSP00000377303,9606.ENSP00000210444,31.0,13.0
1,9606.ENSP00000258317,9606.ENSP00000210444,33.0,13.0
2,9606.ENSP00000292432,9606.ENSP00000216259,25.0,7.0
3,9606.ENSP00000350949,9606.ENSP00000216259,41.0,7.0
4,9606.ENSP00000290573,9606.ENSP00000216259,23.0,7.0
5,9606.ENSP00000402103,9606.ENSP00000216259,24.0,7.0
6,9606.ENSP00000268261,9606.ENSP00000216259,5.0,7.0
7,9606.ENSP00000295448,9606.ENSP00000216410,9.0,12.0
8,9606.ENSP00000356903,9606.ENSP00000216410,30.0,12.0
9,9606.ENSP00000292432,9606.ENSP00000216410,25.0,12.0
10,9606.ENSP00000402103,9606.ENSP00000216410,24.0,12.0
11,9606.ENSP00000290573,9606.ENSP00000216410,23.0,12.0
12,9606.ENSP00000371393,9606.ENSP00000223366,6.0,1.0
13,9606.ENSP00000292432,9606.ENSP00000223366,25.0,1.0
14,9606.ENSP00000360124,9606.ENSP00000223366,37.0,1.0
15,9606.ENSP00000402103,9606.ENSP00000223366,24.0,1.0
16,9606.ENSP00000290573,9606.ENSP00000223366,23.0,1.0
17,9606.ENSP00000258317,9606.ENSP00000229329,33.0,38.0
18,9606.ENSP00000290573,9606.ENSP00000253778,23.0,2.0
19,9606.ENSP00000423674,9606.ENSP00000253778,40.0,2.0
20,9606.ENSP00000402103,9606.ENSP00000253778,24.0,2.0
21,9606.ENSP00000292432,9606.ENSP00000253778,25.0,2.0
22,9606.ENSP00000318318,9606.ENSP00000253778,0.0,2.0
23,9606.ENSP00000295448,9606.ENSP00000253778,9.0,2.0
24,9606.ENSP00000356903,9606.ENSP00000253778,30.0,2.0
25,9606.ENSP00000405573,9606.ENSP00000253778,42.0,2.0
26,9606.ENSP00000425809,9606.ENSP00000253778,39.0,2.0
27,9606.ENSP00000349860,9606.ENSP00000253778,16.0,2.0
28,9606.ENSP00000302441,9606.ENSP00000258317,18.0,33.0
29,9606.ENSP00000377303,9606.ENSP00000258317,31.0,33.0
30,9606.ENSP00000377303,9606.ENSP00000261416,31.0,21.0
31,9606.ENSP00000477639,9606.ENSP00000261416,28.0,21.0
32,9606.ENSP00000358755,9606.ENSP00000261416,32.0,21.0
33,9606.ENSP00000356198,9606.ENSP00000261416,29.0,21.0
34,9606.ENSP00000356198,9606.ENSP00000268097,29.0,22.0
35,9606.ENSP00000358755,9606.ENSP00000268097,32.0,22.0
36,9606.ENSP00000477639,9606.ENSP00000268097,28.0,22.0
37,9606.ENSP00000377303,9606.ENSP00000268097,31.0,22.0
38,9606.ENSP00000292432,9606.ENSP00000268261,25.0,5.0
39,9606.ENSP00000290573,9606.ENSP00000268261,23.0,5.0
40,9606.ENSP00000350949,9606.ENSP00000268261,41.0,5.0
41,9606.ENSP00000402103,9606.ENSP00000268261,24.0,5.0
42,9606.ENSP00000292432,9606.ENSP00000288078,25.0,17.0
43,9606.ENSP00000359935,9606.ENSP00000288078,20.0,17.0
44,9606.ENSP00000402103,9606.ENSP00000288078,24.0,17.0
45,9606.ENSP00000398803,9606.ENSP00000288078,36.0,17.0
46,9606.ENSP00000370194,9606.ENSP00000288078,10.0,17.0
47,9606.ENSP00000290573,9606.ENSP00000288078,23.0,17.0
48,9606.ENSP00000349860,9606.ENSP00000290573,16.0,23.0
49,9606.ENSP00000423674,9606.ENSP00000290573,40.0,23.0
50,9606.ENSP00000402103,9606.ENSP00000290573,24.0,23.0
51,9606.ENSP00000292432,9606.ENSP00000290573,25.0,23.0
52,9606.ENSP00000360124,9606.ENSP00000290573,37.0,23.0
53,9606.ENSP00000295448,9606.ENSP00000290573,9.0,23.0
54,9606.ENSP00000371393,9606.ENSP00000290573,6.0,23.0
55,9606.ENSP00000318318,9606.ENSP00000290573,0.0,23.0
56,9606.ENSP00000423674,9606.ENSP00000292432,40.0,25.0
57,9606.ENSP00000402103,9606.ENSP00000292432,24.0,25.0
58,9606.ENSP00000360124,9606.ENSP00000292432,37.0,25.0
59,9606.ENSP00000295448,9606.ENSP00000292432,9.0,25.0
60,9606.ENSP00000318318,9606.ENSP00000292432,0.0,25.0
61,9606.ENSP00000371393,9606.ENSP00000292432,6.0,25.0
62,9606.ENSP00000349860,9606.ENSP00000292432,16.0,25.0
63,9606.ENSP00000318318,9606.ENSP00000295448,0.0,9.0
64,9606.ENSP00000405573,9606.ENSP00000295448,42.0,9.0
65,9606.ENSP00000349860,9606.ENSP00000295448,16.0,9.0
66,9606.ENSP00000423674,9606.ENSP00000295448,40.0,9.0
67,9606.ENSP00000402103,9606.ENSP00000295448,24.0,9.0
68,9606.ENSP00000338703,9606.ENSP00000309092,34.0,43.0
69,9606.ENSP00000349860,9606.ENSP00000309092,16.0,43.0
70,9606.ENSP00000318318,9606.ENSP00000309092,0.0,43.0
71,9606.ENSP00000360124,9606.ENSP00000318318,37.0,0.0
72,9606.ENSP00000483375,9606.ENSP00000318318,4.0,0.0
73,9606.ENSP00000349860,9606.ENSP00000318318,16.0,0.0
74,9606.ENSP00000423674,9606.ENSP00000318318,40.0,0.0
75,9606.ENSP00000402103,9606.ENSP00000318318,24.0,0.0
76,9606.ENSP00000368119,9606.ENSP00000319501,26.0,14.0
77,9606.ENSP00000370194,9606.ENSP00000319501,10.0,14.0
78,9606.ENSP00000465930,9606.ENSP00000338703,3.0,34.0
79,9606.ENSP00000405573,9606.ENSP00000338703,42.0,34.0
