,protein1,protein2,id1,id2
0,9606.ENSP00000356155,9606.ENSP00000074304,35.0,11.0
1,9606.ENSP00000445381,9606.ENSP00000074304,36.0,11.0
2,9606.ENSP00000267615,9606.ENSP00000074304,28.0,11.0
3,9606.ENSP00000264380,9606.ENSP00000074304,16.0,11.0
4,9606.ENSP00000347792,9606.ENSP00000074304,13.0,11.0
5,9606.ENSP00000408526,9606.ENSP00000074304,17.0,11.0
6,9606.ENSP00000265970,9606.ENSP00000074304,38.0,11.0
7,9606.ENSP00000425487,9606.ENSP00000074304,30.0,11.0
8,9606.ENSP00000337746,9606.ENSP00000074304,21.0,11.0
9,9606.ENSP00000357583,9606.ENSP00000074304,9.0,11.0
10,9606.ENSP00000413937,9606.ENSP00000074304,23.0,11.0
11,9606.ENSP00000361021,9606.ENSP00000074304,39.0,11.0
12,9606.ENSP00000360154,9606.ENSP00000074304,52.0,11.0
13,9606.ENSP00000360777,9606.ENSP00000074304,51.0,11.0
14,9606.ENSP00000409667,9606.ENSP00000074304,24.0,11.0
15,9606.ENSP00000362115,9606.ENSP00000074304,10.0,11.0
16,9606.ENSP00000262039,9606.ENSP00000074304,34.0,11.0
17,9606.ENSP00000269159,9606.ENSP00000074304,18.0,11.0
18,9606.ENSP00000376142,9606.ENSP00000074304,2.0,11.0
19,9606.ENSP00000269159,9606.ENSP00000216075,18.0,7.0
20,9606.ENSP00000219789,9606.ENSP00000216075,29.0,7.0
21,9606.ENSP00000408526,9606.ENSP00000216075,17.0,7.0
22,9606.ENSP00000361021,9606.ENSP00000219789,39.0,29.0
23,9606.ENSP00000357869,9606.ENSP00000219789,49.0,29.0
24,9606.ENSP00000479636,9606.ENSP00000219789,15.0,29.0
25,9606.ENSP00000430344,9606.ENSP00000219789,4.0,29.0
26,9606.ENSP00000337746,9606.ENSP00000219789,21.0,29.0
27,9606.ENSP00000255882,9606.ENSP00000219789,53.0,29.0
28,9606.ENSP00000265970,9606.ENSP00000219789,38.0,29.0
29,9606.ENSP00000408526,9606.ENSP00000219789,17.0,29.0
30,9606.ENSP00000264380,9606.ENSP00000219789,16.0,29.0
31,9606.ENSP00000445381,9606.ENSP00000219789,36.0,29.0
32,9606.ENSP00000338185,9606.ENSP00000219789,1.0,29.0
33,9606.ENSP00000356155,9606.ENSP00000219789,35.0,29.0
34,9606.ENSP00000269159,9606.ENSP00000219789,18.0,29.0
35,9606.ENSP00000352121,9606.ENSP00000219789,50.0,29.0
36,9606.ENSP00000262039,9606.ENSP00000219789,34.0,29.0
37,9606.ENSP00000450436,9606.ENSP00000229270,32.0,8.0
38,9606.ENSP00000352121,9606.ENSP00000244007,50.0,46.0
39,9606.ENSP00000265382,9606.ENSP00000244007,20.0,46.0
40,9606.ENSP00000409667,9606.ENSP00000244007,24.0,46.0
41,9606.ENSP00000289153,9606.ENSP00000244007,44.0,46.0
42,9606.ENSP00000255882,9606.ENSP00000244007,53.0,46.0
43,9606.ENSP00000357869,9606.ENSP00000244007,49.0,46.0
44,9606.ENSP00000361021,9606.ENSP00000244007,39.0,46.0
45,9606.ENSP00000360431,9606.ENSP00000244007,31.0,46.0
46,9606.ENSP00000363046,9606.ENSP00000244007,3.0,46.0
47,9606.ENSP00000356155,9606.ENSP00000244007,35.0,46.0
48,9606.ENSP00000482548,9606.ENSP00000244007,14.0,46.0
49,9606.ENSP00000265970,9606.ENSP00000244007,38.0,46.0
50,9606.ENSP00000357883,9606.ENSP00000244007,19.0,46.0
51,9606.ENSP00000367762,9606.ENSP00000244007,6.0,46.0
52,9606.ENSP00000466363,9606.ENSP00000244007,33.0,46.0
53,9606.ENSP00000365757,9606.ENSP00000244007,37.0,46.0
54,9606.ENSP00000263967,9606.ENSP00000244007,43.0,46.0
55,9606.ENSP00000260402,9606.ENSP00000244007,0.0,46.0
56,9606.ENSP00000443631,9606.ENSP00000244007,5.0,46.0
57,9606.ENSP00000360154,9606.ENSP00000244007,52.0,46.0
58,9606.ENSP00000360777,9606.ENSP00000244007,51.0,46.0
59,9606.ENSP00000362115,9606.ENSP00000244007,10.0,46.0
60,9606.ENSP00000482457,9606.ENSP00000244007,47.0,46.0
61,9606.ENSP00000260386,9606.ENSP00000244007,26.0,46.0
62,9606.ENSP00000266505,9606.ENSP00000244007,48.0,46.0
63,9606.ENSP00000411152,9606.ENSP00000244007,27.0,46.0
64,9606.ENSP00000366563,9606.ENSP00000244007,45.0,46.0
65,9606.ENSP00000479636,9606.ENSP00000244007,15.0,46.0
66,9606.ENSP00000430344,9606.ENSP00000244007,4.0,46.0
67,9606.ENSP00000357583,9606.ENSP00000244007,9.0,46.0
68,9606.ENSP00000347032,9606.ENSP00000244007,40.0,46.0
69,9606.ENSP00000445381,9606.ENSP00000244007,36.0,46.0
70,9606.ENSP00000338185,9606.ENSP00000244007,1.0,46.0
71,9606.ENSP00000347792,9606.ENSP00000244007,13.0,46.0
72,9606.ENSP00000264380,9606.ENSP00000244007,16.0,46.0
73,9606.ENSP00000262039,9606.ENSP00000255882,34.0,53.0
74,9606.ENSP00000409667,9606.ENSP00000255882,24.0,53.0
75,9606.ENSP00000361021,9606.ENSP00000255882,39.0,53.0
76,9606.ENSP00000265970,9606.ENSP00000255882,38.0,53.0
77,9606.ENSP00000482548,9606.ENSP00000255882,14.0,53.0
78,9606.ENSP00000360431,9606.ENSP00000255882,31.0,53.0
79,9606.ENSP00000356155,9606.ENSP00000255882,35.0,53.0
80,9606.ENSP00000388631,9606.ENSP00000255882,25.0,53.0
81,9606.ENSP00000357883,9606.ENSP00000255882,19.0,53.0
82,9606.ENSP00000367762,9606.ENSP00000255882,6.0,53.0
83,9606.ENSP00000362115,9606.ENSP00000255882,10.0,53.0
84,9606.ENSP00000482457,9606.ENSP00000255882,47.0,53.0
85,9606.ENSP00000365757,9606.ENSP00000255882,37.0,53.0
86,9606.ENSP00000443631,9606.ENSP00000255882,5.0,53.0
87,9606.ENSP00000260402,9606.ENSP00000255882,0.0,53.0
88,9606.ENSP00000360154,9606.ENSP00000255882,52.0,53.0
89,9606.ENSP00000360777,9606.ENSP00000255882,51.0,53.0
90,9606.ENSP00000430344,9606.ENSP00000255882,4.0,53.0
91,9606.ENSP00000479636,9606.ENSP00000255882,15.0,53.0
92,9606.ENSP00000266505,9606.ENSP00000255882,48.0,53.0
93,9606.ENSP00000347792,9606.ENSP00000255882,13.0,53.0
94,9606.ENSP00000445381,9606.ENSP00000255882,36.0,53.0
95,9606.ENSP00000338185,9606.ENSP00000255882,1.0,53.0
96,9606.ENSP00000362115,9606.ENSP00000260386,10.0,26.0
97,9606.ENSP00000482457,9606.ENSP00000260386,47.0,26.0
98,9606.ENSP00000298229,9606.ENSP00000260386,12.0,26.0
99,9606.ENSP00000361064,9606.ENSP00000260386,41.0,26.0
100,9606.ENSP00000409667,9606.ENSP00000260386,24.0,26.0
101,9606.ENSP00000443631,9606.ENSP00000260386,5.0,26.0
102,9606.ENSP00000260402,9606.ENSP00000260386,0.0,26.0
103,9606.ENSP00000360154,9606.ENSP00000260386,52.0,26.0
104,9606.ENSP00000361021,9606.ENSP00000260386,39.0,26.0
105,9606.ENSP00000413937,9606.ENSP00000260386,23.0,26.0
106,9606.ENSP00000430344,9606.ENSP00000260386,4.0,26.0
107,9606.ENSP00000479636,9606.ENSP00000260386,15.0,26.0
108,9606.ENSP00000411152,9606.ENSP00000260386,27.0,26.0
109,9606.ENSP00000333262,9606.ENSP00000260386,22.0,26.0
110,9606.ENSP00000347792,9606.ENSP00000260386,13.0,26.0
111,9606.ENSP00000267615,9606.ENSP00000260386,28.0,26.0
112,9606.ENSP00000338185,9606.ENSP00000260386,1.0,26.0
113,9606.ENSP00000360431,9606.ENSP00000260386,31.0,26.0
114,9606.ENSP00000363046,9606.ENSP00000260386,3.0,26.0
115,9606.ENSP00000338185,9606.ENSP00000260402,1.0,0.0
116,9606.ENSP00000347792,9606.ENSP00000260402,13.0,0.0
117,9606.ENSP00000333262,9606.ENSP00000260402,22.0,0.0
118,9606.ENSP00000366563,9606.ENSP00000260402,45.0,0.0
119,9606.ENSP00000411152,9606.ENSP00000260402,27.0,0.0
120,9606.ENSP00000347032,9606.ENSP00000260402,40.0,0.0
121,9606.ENSP00000360154,9606.ENSP00000260402,52.0,0.0
122,9606.ENSP00000360777,9606.ENSP00000260402,51.0,0.0
123,9606.ENSP00000365757,9606.ENSP00000260402,37.0,0.0
124,9606.ENSP00000443631,9606.ENSP00000260402,5.0,0.0
125,9606.ENSP00000482457,9606.ENSP00000260402,47.0,0.0
126,9606.ENSP00000362115,9606.ENSP00000260402,10.0,0.0
127,9606.ENSP00000357883,9606.ENSP00000260402,19.0,0.0
128,9606.ENSP00000466363,9606.ENSP00000260402,33.0,0.0
129,9606.ENSP00000482548,9606.ENSP00000260402,14.0,0.0
130,9606.ENSP00000265970,9606.ENSP00000260402,38.0,0.0
131,9606.ENSP00000289153,9606.ENSP00000260402,44.0,0.0
132,9606.ENSP00000409667,9606.ENSP00000260402,24.0,0.0
133,9606.ENSP00000265382,9606.ENSP00000260402,20.0,0.0
134,9606.ENSP00000352121,9606.ENSP00000260402,50.0,0.0
135,9606.ENSP00000263967,9606.ENSP00000262039,43.0,34.0
136,9606.ENSP00000388631,9606.ENSP00000262039,25.0,34.0
137,9606.ENSP00000425487,9606.ENSP00000262039,30.0,34.0
138,9606.ENSP00000430344,9606.ENSP00000262039,4.0,34.0
139,9606.ENSP00000352121,9606.ENSP00000262039,50.0,34.0
140,9606.ENSP00000360431,9606.ENSP00000262039,31.0,34.0
141,9606.ENSP00000265970,9606.ENSP00000262039,38.0,34.0
142,9606.ENSP00000289153,9606.ENSP00000262039,44.0,34.0
143,9606.ENSP00000357869,9606.ENSP00000262039,49.0,34.0
144,9606.ENSP00000289153,9606.ENSP00000263967,44.0,43.0
145,9606.ENSP00000360431,9606.ENSP00000263967,31.0,43.0
146,9606.ENSP00000356155,9606.ENSP00000263967,35.0,43.0
147,9606.ENSP00000482548,9606.ENSP00000263967,14.0,43.0
148,9606.ENSP00000265382,9606.ENSP00000263967,20.0,43.0
149,9606.ENSP00000352121,9606.ENSP00000263967,50.0,43.0
150,9606.ENSP00000409667,9606.ENSP00000263967,24.0,43.0
151,9606.ENSP00000298229,9606.ENSP00000263967,12.0,43.0
152,9606.ENSP00000366563,9606.ENSP00000263967,45.0,43.0
153,9606.ENSP00000430344,9606.ENSP00000263967,4.0,43.0
154,9606.ENSP00000347032,9606.ENSP00000263967,40.0,43.0
155,9606.ENSP00000338185,9606.ENSP00000263967,1.0,43.0
156,9606.ENSP00000357883,9606.ENSP00000263967,19.0,43.0
157,9606.ENSP00000367762,9606.ENSP00000263967,6.0,43.0
158,9606.ENSP00000466363,9606.ENSP00000263967,33.0,43.0
159,9606.ENSP00000360154,9606.ENSP00000263967,52.0,43.0
160,9606.ENSP00000365757,9606.ENSP00000263967,37.0,43.0
161,9606.ENSP00000482457,9606.ENSP00000263967,47.0,43.0
162,9606.ENSP00000362115,9606.ENSP00000263967,10.0,43.0
163,9606.ENSP00000361021,9606.ENSP00000264380,39.0,16.0
164,9606.ENSP00000265970,9606.ENSP00000264380,38.0,16.0
165,9606.ENSP00000482548,9606.ENSP00000264380,14.0,16.0
166,9606.ENSP00000360431,9606.ENSP00000264380,31.0,16.0
167,9606.ENSP00000356155,9606.ENSP00000264380,35.0,16.0
