,protein1,protein2,id1,id2
0,9606.ENSP00000438144,9606.ENSP00000216254,7.0,15.0
1,9606.ENSP00000309477,9606.ENSP00000216254,0.0,15.0
2,9606.ENSP00000478253,9606.ENSP00000216605,10.0,11.0
3,9606.ENSP00000377617,9606.ENSP00000216605,2.0,11.0
4,9606.ENSP00000379108,9606.ENSP00000216605,8.0,11.0
5,9606.ENSP00000438144,9606.ENSP00000309477,7.0,0.0
6,9606.ENSP00000368066,9606.ENSP00000309477,5.0,0.0
7,9606.ENSP00000327070,9606.ENSP00000309477,6.0,0.0
8,9606.ENSP00000361502,9606.ENSP00000313432,14.0,3.0
9,9606.ENSP00000330918,9606.ENSP00000313432,9.0,3.0
10,9606.ENSP00000483507,9606.ENSP00000313432,12.0,3.0
11,9606.ENSP00000328938,9606.ENSP00000327070,13.0,6.0
12,9606.ENSP00000438144,9606.ENSP00000328938,7.0,13.0
13,9606.ENSP00000483507,9606.ENSP00000330918,12.0,9.0
14,9606.ENSP00000368066,9606.ENSP00000330918,5.0,9.0
15,9606.ENSP00000483507,9606.ENSP00000368066,12.0,5.0
16,9606.ENSP00000478253,9606.ENSP00000377617,10.0,2.0
17,9606.ENSP00000478253,9606.ENSP00000379108,10.0,8.0
