,protein1,protein2,id1,id2
0,9606.ENSP00000419045,9606.ENSP00000234454,5.0,7.0
1,9606.ENSP00000375881,9606.ENSP00000280362,1.0,9.0
2,9606.ENSP00000363973,9606.ENSP00000280362,8.0,9.0
3,9606.ENSP00000295463,9606.ENSP00000280362,10.0,9.0
4,9606.ENSP00000295453,9606.ENSP00000280362,2.0,9.0
5,9606.ENSP00000419045,9606.ENSP00000281243,5.0,0.0
6,9606.ENSP00000375881,9606.ENSP00000295453,1.0,2.0
7,9606.ENSP00000419045,9606.ENSP00000295453,5.0,2.0
8,9606.ENSP00000419045,9606.ENSP00000295463,5.0,10.0
9,9606.ENSP00000419045,9606.ENSP00000362344,5.0,6.0
10,9606.ENSP00000419045,9606.ENSP00000363973,5.0,8.0
11,9606.ENSP00000419045,9606.ENSP00000375881,5.0,1.0
12,9606.ENSP00000419045,9606.ENSP00000396308,5.0,3.0
