,protein1,protein2,id1,id2
0,9606.ENSP00000285949,9606.ENSP00000001146,20.0,30.0
1,9606.ENSP00000360317,9606.ENSP00000001146,22.0,30.0
2,9606.ENSP00000301141,9606.ENSP00000001146,43.0,30.0
3,9606.ENSP00000260682,9606.ENSP00000001146,18.0,30.0
4,9606.ENSP00000222982,9606.ENSP00000001146,1.0,30.0
5,9606.ENSP00000324648,9606.ENSP00000001146,23.0,30.0
6,9606.ENSP00000342007,9606.ENSP00000001146,48.0,30.0
7,9606.ENSP00000224356,9606.ENSP00000001146,16.0,30.0
8,9606.ENSP00000337915,9606.ENSP00000001146,4.0,30.0
9,9606.ENSP00000480571,9606.ENSP00000001146,27.0,30.0
10,9606.ENSP00000311095,9606.ENSP00000001146,3.0,30.0
11,9606.ENSP00000360958,9606.ENSP00000001146,45.0,30.0
12,9606.ENSP00000285979,9606.ENSP00000001146,7.0,30.0
13,9606.ENSP00000369050,9606.ENSP00000001146,47.0,30.0
14,9606.ENSP00000370430,9606.ENSP00000209668,60.0,13.0
15,9606.ENSP00000297785,9606.ENSP00000209668,37.0,13.0
16,9606.ENSP00000224356,9606.ENSP00000209668,16.0,13.0
17,9606.ENSP00000362549,9606.ENSP00000209668,34.0,13.0
18,9606.ENSP00000303174,9606.ENSP00000209668,36.0,13.0
19,9606.ENSP00000258168,9606.ENSP00000209668,14.0,13.0
20,9606.ENSP00000362508,9606.ENSP00000209668,26.0,13.0
21,9606.ENSP00000304845,9606.ENSP00000209668,28.0,13.0
22,9606.ENSP00000337224,9606.ENSP00000209668,40.0,13.0
23,9606.ENSP00000320401,9606.ENSP00000209668,62.0,13.0
24,9606.ENSP00000295802,9606.ENSP00000209668,38.0,13.0
25,9606.ENSP00000249750,9606.ENSP00000209668,52.0,13.0
26,9606.ENSP00000251566,9606.ENSP00000209668,24.0,13.0
27,9606.ENSP00000482264,9606.ENSP00000209668,33.0,13.0
28,9606.ENSP00000334276,9606.ENSP00000209668,2.0,13.0
29,9606.ENSP00000426083,9606.ENSP00000209668,9.0,13.0
30,9606.ENSP00000360958,9606.ENSP00000222982,45.0,1.0
31,9606.ENSP00000285979,9606.ENSP00000222982,7.0,1.0
32,9606.ENSP00000311095,9606.ENSP00000222982,3.0,1.0
33,9606.ENSP00000342007,9606.ENSP00000222982,48.0,1.0
34,9606.ENSP00000369050,9606.ENSP00000222982,47.0,1.0
35,9606.ENSP00000249750,9606.ENSP00000222982,52.0,1.0
36,9606.ENSP00000251566,9606.ENSP00000222982,24.0,1.0
37,9606.ENSP00000480571,9606.ENSP00000222982,27.0,1.0
38,9606.ENSP00000265403,9606.ENSP00000222982,58.0,1.0
39,9606.ENSP00000334276,9606.ENSP00000222982,2.0,1.0
40,9606.ENSP00000337915,9606.ENSP00000222982,4.0,1.0
41,9606.ENSP00000324648,9606.ENSP00000222982,23.0,1.0
42,9606.ENSP00000320401,9606.ENSP00000222982,62.0,1.0
43,9606.ENSP00000304845,9606.ENSP00000222982,28.0,1.0
44,9606.ENSP00000418532,9606.ENSP00000222982,29.0,1.0
45,9606.ENSP00000341045,9606.ENSP00000222982,63.0,1.0
46,9606.ENSP00000304811,9606.ENSP00000222982,59.0,1.0
47,9606.ENSP00000305221,9606.ENSP00000222982,61.0,1.0
48,9606.ENSP00000387683,9606.ENSP00000222982,17.0,1.0
49,9606.ENSP00000260682,9606.ENSP00000222982,18.0,1.0
50,9606.ENSP00000362549,9606.ENSP00000222982,34.0,1.0
51,9606.ENSP00000303174,9606.ENSP00000222982,36.0,1.0
52,9606.ENSP00000360372,9606.ENSP00000222982,21.0,1.0
53,9606.ENSP00000346768,9606.ENSP00000222982,56.0,1.0
54,9606.ENSP00000301141,9606.ENSP00000222982,43.0,1.0
55,9606.ENSP00000343838,9606.ENSP00000222982,32.0,1.0
56,9606.ENSP00000362508,9606.ENSP00000222982,26.0,1.0
57,9606.ENSP00000362513,9606.ENSP00000222982,42.0,1.0
58,9606.ENSP00000362525,9606.ENSP00000222982,35.0,1.0
59,9606.ENSP00000360317,9606.ENSP00000222982,22.0,1.0
60,9606.ENSP00000332679,9606.ENSP00000222982,25.0,1.0
61,9606.ENSP00000297785,9606.ENSP00000222982,37.0,1.0
62,9606.ENSP00000224356,9606.ENSP00000222982,16.0,1.0
63,9606.ENSP00000285949,9606.ENSP00000222982,20.0,1.0
64,9606.ENSP00000337915,9606.ENSP00000224356,4.0,16.0
65,9606.ENSP00000306606,9606.ENSP00000224356,8.0,16.0
66,9606.ENSP00000449079,9606.ENSP00000224356,39.0,16.0
67,9606.ENSP00000369050,9606.ENSP00000224356,47.0,16.0
68,9606.ENSP00000311095,9606.ENSP00000224356,3.0,16.0
69,9606.ENSP00000285979,9606.ENSP00000224356,7.0,16.0
70,9606.ENSP00000360958,9606.ENSP00000224356,45.0,16.0
71,9606.ENSP00000480571,9606.ENSP00000224356,27.0,16.0
72,9606.ENSP00000482264,9606.ENSP00000224356,33.0,16.0
73,9606.ENSP00000370750,9606.ENSP00000224356,41.0,16.0
74,9606.ENSP00000265512,9606.ENSP00000224356,10.0,16.0
75,9606.ENSP00000381206,9606.ENSP00000224356,55.0,16.0
76,9606.ENSP00000389241,9606.ENSP00000224356,31.0,16.0
77,9606.ENSP00000324648,9606.ENSP00000224356,23.0,16.0
78,9606.ENSP00000420269,9606.ENSP00000224356,49.0,16.0
79,9606.ENSP00000337224,9606.ENSP00000224356,40.0,16.0
80,9606.ENSP00000326219,9606.ENSP00000224356,46.0,16.0
81,9606.ENSP00000342007,9606.ENSP00000224356,48.0,16.0
82,9606.ENSP00000295802,9606.ENSP00000224356,38.0,16.0
83,9606.ENSP00000426083,9606.ENSP00000224356,9.0,16.0
84,9606.ENSP00000421172,9606.ENSP00000224356,19.0,16.0
85,9606.ENSP00000360317,9606.ENSP00000224356,22.0,16.0
86,9606.ENSP00000285949,9606.ENSP00000224356,20.0,16.0
87,9606.ENSP00000370430,9606.ENSP00000224356,60.0,16.0
88,9606.ENSP00000304811,9606.ENSP00000224356,59.0,16.0
89,9606.ENSP00000260682,9606.ENSP00000224356,18.0,16.0
90,9606.ENSP00000378359,9606.ENSP00000224356,50.0,16.0
91,9606.ENSP00000296412,9606.ENSP00000224356,11.0,16.0
92,9606.ENSP00000301141,9606.ENSP00000224356,43.0,16.0
93,9606.ENSP00000466058,9606.ENSP00000224356,5.0,16.0
94,9606.ENSP00000370430,9606.ENSP00000240285,60.0,15.0
95,9606.ENSP00000337224,9606.ENSP00000240285,40.0,15.0
96,9606.ENSP00000421172,9606.ENSP00000240285,19.0,15.0
97,9606.ENSP00000249750,9606.ENSP00000240285,52.0,15.0
98,9606.ENSP00000295802,9606.ENSP00000240285,38.0,15.0
99,9606.ENSP00000297785,9606.ENSP00000240285,37.0,15.0
100,9606.ENSP00000370750,9606.ENSP00000240285,41.0,15.0
101,9606.ENSP00000258168,9606.ENSP00000240285,14.0,15.0
102,9606.ENSP00000262340,9606.ENSP00000240285,0.0,15.0
103,9606.ENSP00000257895,9606.ENSP00000240285,57.0,15.0
104,9606.ENSP00000482264,9606.ENSP00000240285,33.0,15.0
105,9606.ENSP00000449079,9606.ENSP00000240285,39.0,15.0
106,9606.ENSP00000301141,9606.ENSP00000249750,43.0,52.0
107,9606.ENSP00000466058,9606.ENSP00000249750,5.0,52.0
108,9606.ENSP00000296412,9606.ENSP00000249750,11.0,52.0
109,9606.ENSP00000378359,9606.ENSP00000249750,50.0,52.0
110,9606.ENSP00000326219,9606.ENSP00000249750,46.0,52.0
111,9606.ENSP00000342007,9606.ENSP00000249750,48.0,52.0
112,9606.ENSP00000426083,9606.ENSP00000249750,9.0,52.0
113,9606.ENSP00000324648,9606.ENSP00000249750,23.0,52.0
114,9606.ENSP00000420269,9606.ENSP00000249750,49.0,52.0
115,9606.ENSP00000389241,9606.ENSP00000249750,31.0,52.0
116,9606.ENSP00000381206,9606.ENSP00000249750,55.0,52.0
117,9606.ENSP00000265512,9606.ENSP00000249750,10.0,52.0
118,9606.ENSP00000258168,9606.ENSP00000249750,14.0,52.0
119,9606.ENSP00000480439,9606.ENSP00000249750,6.0,52.0
120,9606.ENSP00000297785,9606.ENSP00000249750,37.0,52.0
121,9606.ENSP00000360958,9606.ENSP00000249750,45.0,52.0
122,9606.ENSP00000311095,9606.ENSP00000249750,3.0,52.0
123,9606.ENSP00000449079,9606.ENSP00000249750,39.0,52.0
124,9606.ENSP00000369050,9606.ENSP00000249750,47.0,52.0
125,9606.ENSP00000480571,9606.ENSP00000249750,27.0,52.0
126,9606.ENSP00000337915,9606.ENSP00000249750,4.0,52.0
127,9606.ENSP00000257895,9606.ENSP00000249750,57.0,52.0
128,9606.ENSP00000306606,9606.ENSP00000249750,8.0,52.0
129,9606.ENSP00000342007,9606.ENSP00000251566,48.0,24.0
130,9606.ENSP00000369050,9606.ENSP00000251566,47.0,24.0
131,9606.ENSP00000360958,9606.ENSP00000251566,45.0,24.0
132,9606.ENSP00000285979,9606.ENSP00000251566,7.0,24.0
133,9606.ENSP00000311095,9606.ENSP00000251566,3.0,24.0
134,9606.ENSP00000426083,9606.ENSP00000251566,9.0,24.0
135,9606.ENSP00000480571,9606.ENSP00000251566,27.0,24.0
136,9606.ENSP00000324648,9606.ENSP00000251566,23.0,24.0
137,9606.ENSP00000337915,9606.ENSP00000251566,4.0,24.0
138,9606.ENSP00000420269,9606.ENSP00000251566,49.0,24.0
139,9606.ENSP00000306606,9606.ENSP00000251566,8.0,24.0
140,9606.ENSP00000265512,9606.ENSP00000251566,10.0,24.0
141,9606.ENSP00000260682,9606.ENSP00000251566,18.0,24.0
142,9606.ENSP00000378359,9606.ENSP00000251566,50.0,24.0
143,9606.ENSP00000301141,9606.ENSP00000251566,43.0,24.0
144,9606.ENSP00000360317,9606.ENSP00000251566,22.0,24.0
145,9606.ENSP00000297785,9606.ENSP00000251566,37.0,24.0
146,9606.ENSP00000332679,9606.ENSP00000251566,25.0,24.0
147,9606.ENSP00000370750,9606.ENSP00000257895,41.0,57.0
148,9606.ENSP00000297785,9606.ENSP00000257895,37.0,57.0
