,protein1,protein2,id1,id2
0,9606.ENSP00000360028,9606.ENSP00000209668,18.0,17.0
1,9606.ENSP00000241337,9606.ENSP00000209668,32.0,17.0
2,9606.ENSP00000358851,9606.ENSP00000209668,28.0,17.0
3,9606.ENSP00000211122,9606.ENSP00000209668,22.0,17.0
4,9606.ENSP00000362549,9606.ENSP00000209668,40.0,17.0
5,9606.ENSP00000311469,9606.ENSP00000209668,23.0,17.0
6,9606.ENSP00000303174,9606.ENSP00000209668,43.0,17.0
7,9606.ENSP00000420168,9606.ENSP00000209668,44.0,17.0
8,9606.ENSP00000381607,9606.ENSP00000209668,7.0,17.0
9,9606.ENSP00000256593,9606.ENSP00000209668,38.0,17.0
10,9606.ENSP00000362508,9606.ENSP00000209668,34.0,17.0
11,9606.ENSP00000335620,9606.ENSP00000209668,42.0,17.0
12,9606.ENSP00000304845,9606.ENSP00000209668,35.0,17.0
13,9606.ENSP00000320401,9606.ENSP00000209668,66.0,17.0
14,9606.ENSP00000360002,9606.ENSP00000209668,26.0,17.0
15,9606.ENSP00000332256,9606.ENSP00000209668,56.0,17.0
16,9606.ENSP00000411821,9606.ENSP00000209668,45.0,17.0
17,9606.ENSP00000473990,9606.ENSP00000209668,57.0,17.0
18,9606.ENSP00000256594,9606.ENSP00000209668,30.0,17.0
19,9606.ENSP00000251566,9606.ENSP00000209668,33.0,17.0
20,9606.ENSP00000334276,9606.ENSP00000209668,5.0,17.0
21,9606.ENSP00000426083,9606.ENSP00000209668,13.0,17.0
22,9606.ENSP00000324648,9606.ENSP00000211122,31.0,22.0
23,9606.ENSP00000356864,9606.ENSP00000211122,21.0,22.0
24,9606.ENSP00000420269,9606.ENSP00000211122,51.0,22.0
25,9606.ENSP00000333534,9606.ENSP00000211122,0.0,22.0
26,9606.ENSP00000358727,9606.ENSP00000211122,16.0,22.0
27,9606.ENSP00000342007,9606.ENSP00000211122,52.0,22.0
28,9606.ENSP00000345023,9606.ENSP00000211122,62.0,22.0
29,9606.ENSP00000426083,9606.ENSP00000211122,13.0,22.0
30,9606.ENSP00000482639,9606.ENSP00000211122,19.0,22.0
31,9606.ENSP00000308032,9606.ENSP00000211122,12.0,22.0
32,9606.ENSP00000480004,9606.ENSP00000211122,3.0,22.0
33,9606.ENSP00000260682,9606.ENSP00000211122,25.0,22.0
34,9606.ENSP00000358851,9606.ENSP00000211122,28.0,22.0
35,9606.ENSP00000311469,9606.ENSP00000211122,23.0,22.0
36,9606.ENSP00000381607,9606.ENSP00000211122,7.0,22.0
37,9606.ENSP00000378359,9606.ENSP00000211122,54.0,22.0
38,9606.ENSP00000296412,9606.ENSP00000211122,15.0,22.0
39,9606.ENSP00000337915,9606.ENSP00000211122,6.0,22.0
40,9606.ENSP00000440689,9606.ENSP00000211122,1.0,22.0
41,9606.ENSP00000478561,9606.ENSP00000211122,53.0,22.0
42,9606.ENSP00000411821,9606.ENSP00000211122,45.0,22.0
43,9606.ENSP00000306606,9606.ENSP00000211122,11.0,22.0
44,9606.ENSP00000473990,9606.ENSP00000211122,57.0,22.0
45,9606.ENSP00000285979,9606.ENSP00000211122,10.0,22.0
46,9606.ENSP00000256594,9606.ENSP00000211122,30.0,22.0
47,9606.ENSP00000369050,9606.ENSP00000211122,50.0,22.0
48,9606.ENSP00000360028,9606.ENSP00000211122,18.0,22.0
49,9606.ENSP00000241337,9606.ENSP00000211122,32.0,22.0
50,9606.ENSP00000379512,9606.ENSP00000211122,20.0,22.0
51,9606.ENSP00000216465,9606.ENSP00000211122,9.0,22.0
52,9606.ENSP00000265512,9606.ENSP00000211122,14.0,22.0
53,9606.ENSP00000420168,9606.ENSP00000211122,44.0,22.0
54,9606.ENSP00000256593,9606.ENSP00000211122,38.0,22.0
55,9606.ENSP00000335620,9606.ENSP00000211122,42.0,22.0
56,9606.ENSP00000256594,9606.ENSP00000216465,30.0,9.0
57,9606.ENSP00000360002,9606.ENSP00000216465,26.0,9.0
58,9606.ENSP00000256593,9606.ENSP00000216465,38.0,9.0
59,9606.ENSP00000335620,9606.ENSP00000216465,42.0,9.0
60,9606.ENSP00000420168,9606.ENSP00000216465,44.0,9.0
61,9606.ENSP00000241337,9606.ENSP00000216465,32.0,9.0
62,9606.ENSP00000360028,9606.ENSP00000216465,18.0,9.0
63,9606.ENSP00000345023,9606.ENSP00000216465,62.0,9.0
64,9606.ENSP00000358727,9606.ENSP00000216465,16.0,9.0
65,9606.ENSP00000381607,9606.ENSP00000216465,7.0,9.0
66,9606.ENSP00000358851,9606.ENSP00000216465,28.0,9.0
67,9606.ENSP00000311469,9606.ENSP00000216465,23.0,9.0
68,9606.ENSP00000480004,9606.ENSP00000221403,3.0,61.0
69,9606.ENSP00000369927,9606.ENSP00000221403,8.0,61.0
70,9606.ENSP00000369814,9606.ENSP00000221403,2.0,61.0
71,9606.ENSP00000370129,9606.ENSP00000221403,48.0,61.0
72,9606.ENSP00000285979,9606.ENSP00000222982,10.0,4.0
73,9606.ENSP00000369927,9606.ENSP00000222982,8.0,4.0
74,9606.ENSP00000342007,9606.ENSP00000222982,52.0,4.0
75,9606.ENSP00000369050,9606.ENSP00000222982,50.0,4.0
76,9606.ENSP00000256594,9606.ENSP00000222982,30.0,4.0
77,9606.ENSP00000345023,9606.ENSP00000222982,62.0,4.0
78,9606.ENSP00000251566,9606.ENSP00000222982,33.0,4.0
79,9606.ENSP00000480571,9606.ENSP00000222982,36.0,4.0
80,9606.ENSP00000265403,9606.ENSP00000222982,63.0,4.0
81,9606.ENSP00000334276,9606.ENSP00000222982,5.0,4.0
82,9606.ENSP00000337915,9606.ENSP00000222982,6.0,4.0
83,9606.ENSP00000324648,9606.ENSP00000222982,31.0,4.0
84,9606.ENSP00000320401,9606.ENSP00000222982,66.0,4.0
85,9606.ENSP00000304845,9606.ENSP00000222982,35.0,4.0
86,9606.ENSP00000360002,9606.ENSP00000222982,26.0,4.0
87,9606.ENSP00000332256,9606.ENSP00000222982,56.0,4.0
88,9606.ENSP00000418532,9606.ENSP00000222982,37.0,4.0
89,9606.ENSP00000341045,9606.ENSP00000222982,67.0,4.0
90,9606.ENSP00000304811,9606.ENSP00000222982,64.0,4.0
91,9606.ENSP00000305221,9606.ENSP00000222982,65.0,4.0
92,9606.ENSP00000358851,9606.ENSP00000222982,28.0,4.0
93,9606.ENSP00000387683,9606.ENSP00000222982,24.0,4.0
94,9606.ENSP00000260682,9606.ENSP00000222982,25.0,4.0
95,9606.ENSP00000311469,9606.ENSP00000222982,23.0,4.0
