,protein1,protein2,id1,id2
0,9606.ENSP00000360028,9606.ENSP00000209668,15.0,14.0
1,9606.ENSP00000241337,9606.ENSP00000209668,33.0,14.0
2,9606.ENSP00000358851,9606.ENSP00000209668,29.0,14.0
3,9606.ENSP00000211122,9606.ENSP00000209668,22.0,14.0
4,9606.ENSP00000362549,9606.ENSP00000209668,42.0,14.0
5,9606.ENSP00000311469,9606.ENSP00000209668,23.0,14.0
6,9606.ENSP00000303174,9606.ENSP00000209668,45.0,14.0
7,9606.ENSP00000420168,9606.ENSP00000209668,47.0,14.0
8,9606.ENSP00000381607,9606.ENSP00000209668,4.0,14.0
9,9606.ENSP00000256593,9606.ENSP00000209668,40.0,14.0
10,9606.ENSP00000362508,9606.ENSP00000209668,36.0,14.0
11,9606.ENSP00000363832,9606.ENSP00000209668,49.0,14.0
12,9606.ENSP00000335620,9606.ENSP00000209668,44.0,14.0
13,9606.ENSP00000304845,9606.ENSP00000209668,37.0,14.0
14,9606.ENSP00000320401,9606.ENSP00000209668,68.0,14.0
15,9606.ENSP00000360002,9606.ENSP00000209668,27.0,14.0
16,9606.ENSP00000332256,9606.ENSP00000209668,59.0,14.0
17,9606.ENSP00000411821,9606.ENSP00000209668,50.0,14.0
18,9606.ENSP00000473990,9606.ENSP00000209668,60.0,14.0
19,9606.ENSP00000256594,9606.ENSP00000209668,31.0,14.0
20,9606.ENSP00000251566,9606.ENSP00000209668,34.0,14.0
21,9606.ENSP00000334276,9606.ENSP00000209668,2.0,14.0
22,9606.ENSP00000426083,9606.ENSP00000209668,10.0,14.0
23,9606.ENSP00000340684,9606.ENSP00000209668,48.0,14.0
24,9606.ENSP00000337915,9606.ENSP00000209929,3.0,19.0
25,9606.ENSP00000353820,9606.ENSP00000209929,7.0,19.0
26,9606.ENSP00000260682,9606.ENSP00000209929,25.0,19.0
27,9606.ENSP00000324648,9606.ENSP00000211122,32.0,22.0
28,9606.ENSP00000356864,9606.ENSP00000211122,20.0,22.0
29,9606.ENSP00000420269,9606.ENSP00000211122,55.0,22.0
30,9606.ENSP00000358727,9606.ENSP00000211122,13.0,22.0
31,9606.ENSP00000342007,9606.ENSP00000211122,56.0,22.0
32,9606.ENSP00000345023,9606.ENSP00000211122,64.0,22.0
33,9606.ENSP00000426083,9606.ENSP00000211122,10.0,22.0
34,9606.ENSP00000482639,9606.ENSP00000211122,16.0,22.0
35,9606.ENSP00000260682,9606.ENSP00000211122,25.0,22.0
36,9606.ENSP00000358851,9606.ENSP00000211122,29.0,22.0
37,9606.ENSP00000311469,9606.ENSP00000211122,23.0,22.0
38,9606.ENSP00000381607,9606.ENSP00000211122,4.0,22.0
39,9606.ENSP00000378359,9606.ENSP00000211122,57.0,22.0
40,9606.ENSP00000296412,9606.ENSP00000211122,12.0,22.0
41,9606.ENSP00000337915,9606.ENSP00000211122,3.0,22.0
42,9606.ENSP00000440689,9606.ENSP00000211122,0.0,22.0
43,9606.ENSP00000411821,9606.ENSP00000211122,50.0,22.0
44,9606.ENSP00000306606,9606.ENSP00000211122,8.0,22.0
45,9606.ENSP00000473990,9606.ENSP00000211122,60.0,22.0
46,9606.ENSP00000285979,9606.ENSP00000211122,6.0,22.0
47,9606.ENSP00000256594,9606.ENSP00000211122,31.0,22.0
48,9606.ENSP00000360028,9606.ENSP00000211122,15.0,22.0
49,9606.ENSP00000241337,9606.ENSP00000211122,33.0,22.0
50,9606.ENSP00000379512,9606.ENSP00000211122,17.0,22.0
51,9606.ENSP00000216465,9606.ENSP00000211122,5.0,22.0
52,9606.ENSP00000265512,9606.ENSP00000211122,11.0,22.0
53,9606.ENSP00000420168,9606.ENSP00000211122,47.0,22.0
54,9606.ENSP00000256593,9606.ENSP00000211122,40.0,22.0
55,9606.ENSP00000335620,9606.ENSP00000211122,44.0,22.0
56,9606.ENSP00000256594,9606.ENSP00000216465,31.0,5.0
57,9606.ENSP00000360002,9606.ENSP00000216465,27.0,5.0
58,9606.ENSP00000256593,9606.ENSP00000216465,40.0,5.0
59,9606.ENSP00000335620,9606.ENSP00000216465,44.0,5.0
60,9606.ENSP00000420168,9606.ENSP00000216465,47.0,5.0
61,9606.ENSP00000241337,9606.ENSP00000216465,33.0,5.0
62,9606.ENSP00000360028,9606.ENSP00000216465,15.0,5.0
63,9606.ENSP00000345023,9606.ENSP00000216465,64.0,5.0
64,9606.ENSP00000358727,9606.ENSP00000216465,13.0,5.0
65,9606.ENSP00000381607,9606.ENSP00000216465,4.0,5.0
66,9606.ENSP00000358851,9606.ENSP00000216465,29.0,5.0
67,9606.ENSP00000311469,9606.ENSP00000216465,23.0,5.0
68,9606.ENSP00000285979,9606.ENSP00000222982,6.0,1.0
69,9606.ENSP00000342007,9606.ENSP00000222982,56.0,1.0
70,9606.ENSP00000256594,9606.ENSP00000222982,31.0,1.0
71,9606.ENSP00000345023,9606.ENSP00000222982,64.0,1.0
72,9606.ENSP00000251566,9606.ENSP00000222982,34.0,1.0
73,9606.ENSP00000480571,9606.ENSP00000222982,38.0,1.0
74,9606.ENSP00000265403,9606.ENSP00000222982,65.0,1.0
75,9606.ENSP00000334276,9606.ENSP00000222982,2.0,1.0
76,9606.ENSP00000337915,9606.ENSP00000222982,3.0,1.0
77,9606.ENSP00000324648,9606.ENSP00000222982,32.0,1.0
78,9606.ENSP00000320401,9606.ENSP00000222982,68.0,1.0
79,9606.ENSP00000304845,9606.ENSP00000222982,37.0,1.0
80,9606.ENSP00000360002,9606.ENSP00000222982,27.0,1.0
81,9606.ENSP00000332256,9606.ENSP00000222982,59.0,1.0
82,9606.ENSP00000418532,9606.ENSP00000222982,39.0,1.0
83,9606.ENSP00000341045,9606.ENSP00000222982,69.0,1.0
84,9606.ENSP00000304811,9606.ENSP00000222982,66.0,1.0
85,9606.ENSP00000305221,9606.ENSP00000222982,67.0,1.0
86,9606.ENSP00000358851,9606.ENSP00000222982,29.0,1.0
87,9606.ENSP00000387683,9606.ENSP00000222982,24.0,1.0
88,9606.ENSP00000260682,9606.ENSP00000222982,25.0,1.0
89,9606.ENSP00000311469,9606.ENSP00000222982,23.0,1.0
90,9606.ENSP00000362549,9606.ENSP00000222982,42.0,1.0
91,9606.ENSP00000303174,9606.ENSP00000222982,45.0,1.0
92,9606.ENSP00000420168,9606.ENSP00000222982,47.0,1.0
93,9606.ENSP00000360372,9606.ENSP00000222982,28.0,1.0
94,9606.ENSP00000346768,9606.ENSP00000222982,63.0,1.0
95,9606.ENSP00000381607,9606.ENSP00000222982,4.0,1.0
96,9606.ENSP00000301141,9606.ENSP00000222982,53.0,1.0
97,9606.ENSP00000343838,9606.ENSP00000222982,41.0,1.0
98,9606.ENSP00000362508,9606.ENSP00000222982,36.0,1.0
99,9606.ENSP00000363832,9606.ENSP00000222982,49.0,1.0
100,9606.ENSP00000335620,9606.ENSP00000222982,44.0,1.0
101,9606.ENSP00000360028,9606.ENSP00000222982,15.0,1.0
102,9606.ENSP00000362513,9606.ENSP00000222982,51.0,1.0
103,9606.ENSP00000362525,9606.ENSP00000222982,43.0,1.0
104,9606.ENSP00000360317,9606.ENSP00000222982,30.0,1.0
105,9606.ENSP00000332679,9606.ENSP00000222982,35.0,1.0
106,9606.ENSP00000241337,9606.ENSP00000222982,33.0,1.0
107,9606.ENSP00000335620,9606.ENSP00000241337,44.0,33.0
108,9606.ENSP00000256593,9606.ENSP00000241337,40.0,33.0
109,9606.ENSP00000265512,9606.ENSP00000241337,11.0,33.0
110,9606.ENSP00000420168,9606.ENSP00000241337,47.0,33.0
111,9606.ENSP00000379512,9606.ENSP00000241337,17.0,33.0
112,9606.ENSP00000306606,9606.ENSP00000241337,8.0,33.0
113,9606.ENSP00000411821,9606.ENSP00000241337,50.0,33.0
114,9606.ENSP00000360002,9606.ENSP00000241337,27.0,33.0
115,9606.ENSP00000440689,9606.ENSP00000241337,0.0,33.0
116,9606.ENSP00000337915,9606.ENSP00000241337,3.0,33.0
117,9606.ENSP00000473990,9606.ENSP00000241337,60.0,33.0
118,9606.ENSP00000296412,9606.ENSP00000241337,12.0,33.0
119,9606.ENSP00000378359,9606.ENSP00000241337,57.0,33.0
120,9606.ENSP00000301141,9606.ENSP00000241337,53.0,33.0
121,9606.ENSP00000381607,9606.ENSP00000241337,4.0,33.0
122,9606.ENSP00000360372,9606.ENSP00000241337,28.0,33.0
123,9606.ENSP00000260682,9606.ENSP00000241337,25.0,33.0
124,9606.ENSP00000420269,9606.ENSP00000241337,55.0,33.0
125,9606.ENSP00000356864,9606.ENSP00000241337,20.0,33.0
126,9606.ENSP00000324648,9606.ENSP00000241337,32.0,33.0
127,9606.ENSP00000426083,9606.ENSP00000241337,10.0,33.0
128,9606.ENSP00000482639,9606.ENSP00000241337,16.0,33.0
129,9606.ENSP00000345023,9606.ENSP00000241337,64.0,33.0
130,9606.ENSP00000358727,9606.ENSP00000241337,13.0,33.0
131,9606.ENSP00000342007,9606.ENSP00000241337,56.0,33.0
132,9606.ENSP00000342007,9606.ENSP00000251566,56.0,34.0
133,9606.ENSP00000285979,9606.ENSP00000251566,6.0,34.0
134,9606.ENSP00000426083,9606.ENSP00000251566,10.0,34.0
135,9606.ENSP00000480571,9606.ENSP00000251566,38.0,34.0
136,9606.ENSP00000324648,9606.ENSP00000251566,32.0,34.0
137,9606.ENSP00000440689,9606.ENSP00000251566,0.0,34.0
138,9606.ENSP00000337915,9606.ENSP00000251566,3.0,34.0
139,9606.ENSP00000420269,9606.ENSP00000251566,55.0,34.0
140,9606.ENSP00000306606,9606.ENSP00000251566,8.0,34.0
141,9606.ENSP00000265512,9606.ENSP00000251566,11.0,34.0
142,9606.ENSP00000353820,9606.ENSP00000251566,7.0,34.0
143,9606.ENSP00000260682,9606.ENSP00000251566,25.0,34.0
144,9606.ENSP00000363832,9606.ENSP00000251566,49.0,34.0
145,9606.ENSP00000378359,9606.ENSP00000251566,57.0,34.0
146,9606.ENSP00000301141,9606.ENSP00000251566,53.0,34.0
147,9606.ENSP00000360317,9606.ENSP00000251566,30.0,34.0
148,9606.ENSP00000332679,9606.ENSP00000251566,35.0,34.0
149,9606.ENSP00000337915,9606.ENSP00000254090,3.0,26.0
150,9606.ENSP00000353820,9606.ENSP00000254090,7.0,26.0
151,9606.ENSP00000260682,9606.ENSP00000254090,25.0,26.0
152,9606.ENSP00000358851,9606.ENSP00000256593,29.0,40.0
153,9606.ENSP00000296412,9606.ENSP00000256593,12.0,40.0
154,9606.ENSP00000378359,9606.ENSP00000256593,57.0,40.0
155,9606.ENSP00000356864,9606.ENSP00000256593,20.0,40.0
156,9606.ENSP00000420269,9606.ENSP00000256593,55.0,40.0
157,9606.ENSP00000345023,9606.ENSP00000256593,64.0,40.0
158,9606.ENSP00000358727,9606.ENSP00000256593,13.0,40.0
159,9606.ENSP00000426083,9606.ENSP00000256593,10.0,40.0
160,9606.ENSP00000482639,9606.ENSP00000256593,16.0,40.0
161,9606.ENSP00000360028,9606.ENSP00000256593,15.0,40.0
162,9606.ENSP00000379512,9606.ENSP00000256593,17.0,40.0
163,9606.ENSP00000265512,9606.ENSP00000256593,11.0,40.0
164,9606.ENSP00000420168,9606.ENSP00000256593,47.0,40.0
165,9606.ENSP00000335620,9606.ENSP00000256593,44.0,40.0
166,9606.ENSP00000337915,9606.ENSP00000256593,3.0,40.0
167,9606.ENSP00000440689,9606.ENSP00000256593,0.0,40.0
168,9606.ENSP00000360002,9606.ENSP00000256593,27.0,40.0
169,9606.ENSP00000306606,9606.ENSP00000256593,8.0,40.0
170,9606.ENSP00000256594,9606.ENSP00000256593,31.0,40.0
171,9606.ENSP00000356864,9606.ENSP00000256594,20.0,31.0
172,9606.ENSP00000420269,9606.ENSP00000256594,55.0,31.0
173,9606.ENSP00000324648,9606.ENSP00000256594,32.0,31.0
174,9606.ENSP00000482639,9606.ENSP00000256594,16.0,31.0
175,9606.ENSP00000426083,9606.ENSP00000256594,10.0,31.0
176,9606.ENSP00000345023,9606.ENSP00000256594,64.0,31.0
177,9606.ENSP00000358727,9606.ENSP00000256594,13.0,31.0
178,9606.ENSP00000342007,9606.ENSP00000256594,56.0,31.0
179,9606.ENSP00000360317,9606.ENSP00000256594,30.0,31.0
180,9606.ENSP00000301141,9606.ENSP00000256594,53.0,31.0
181,9606.ENSP00000296412,9606.ENSP00000256594,12.0,31.0
182,9606.ENSP00000378359,9606.ENSP00000256594,57.0,31.0
183,9606.ENSP00000358851,9606.ENSP00000256594,29.0,31.0
184,9606.ENSP00000260682,9606.ENSP00000256594,25.0,31.0
185,9606.ENSP00000360372,9606.ENSP00000256594,28.0,31.0
186,9606.ENSP00000311469,9606.ENSP00000256594,23.0,31.0
187,9606.ENSP00000360002,9606.ENSP00000256594,27.0,31.0
188,9606.ENSP00000306606,9606.ENSP00000256594,8.0,31.0
189,9606.ENSP00000411821,9606.ENSP00000256594,50.0,31.0
190,9606.ENSP00000337915,9606.ENSP00000256594,3.0,31.0
191,9606.ENSP00000440689,9606.ENSP00000256594,0.0,31.0
192,9606.ENSP00000285979,9606.ENSP00000256594,6.0,31.0
193,9606.ENSP00000335620,9606.ENSP00000256594,44.0,31.0
194,9606.ENSP00000379512,9606.ENSP00000256594,17.0,31.0
195,9606.ENSP00000420168,9606.ENSP00000256594,47.0,31.0
196,9606.ENSP00000265512,9606.ENSP00000256594,11.0,31.0
197,9606.ENSP00000480571,9606.ENSP00000260682,38.0,25.0
198,9606.ENSP00000481732,9606.ENSP00000260682,18.0,25.0
