,protein1,protein2,id1,id2
0,9606.ENSP00000251566,9606.ENSP00000222982,19.0,1.0
1,9606.ENSP00000480571,9606.ENSP00000222982,21.0,1.0
2,9606.ENSP00000265403,9606.ENSP00000222982,45.0,1.0
3,9606.ENSP00000334276,9606.ENSP00000222982,2.0,1.0
4,9606.ENSP00000337915,9606.ENSP00000222982,4.0,1.0
5,9606.ENSP00000320401,9606.ENSP00000222982,49.0,1.0
6,9606.ENSP00000304845,9606.ENSP00000222982,22.0,1.0
7,9606.ENSP00000418532,9606.ENSP00000222982,23.0,1.0
8,9606.ENSP00000341045,9606.ENSP00000222982,50.0,1.0
9,9606.ENSP00000304811,9606.ENSP00000222982,46.0,1.0
10,9606.ENSP00000305221,9606.ENSP00000222982,47.0,1.0
11,9606.ENSP00000387683,9606.ENSP00000222982,14.0,1.0
12,9606.ENSP00000362549,9606.ENSP00000222982,25.0,1.0
13,9606.ENSP00000303174,9606.ENSP00000222982,28.0,1.0
14,9606.ENSP00000346768,9606.ENSP00000222982,43.0,1.0
15,9606.ENSP00000301141,9606.ENSP00000222982,30.0,1.0
16,9606.ENSP00000343838,9606.ENSP00000222982,24.0,1.0
17,9606.ENSP00000362508,9606.ENSP00000222982,20.0,1.0
18,9606.ENSP00000362513,9606.ENSP00000222982,29.0,1.0
19,9606.ENSP00000362525,9606.ENSP00000222982,26.0,1.0
20,9606.ENSP00000332679,9606.ENSP00000222982,18.0,1.0
21,9606.ENSP00000324343,9606.ENSP00000232607,3.0,35.0
22,9606.ENSP00000301141,9606.ENSP00000232607,30.0,35.0
23,9606.ENSP00000364212,9606.ENSP00000232607,8.0,35.0
24,9606.ENSP00000276651,9606.ENSP00000232607,32.0,35.0
25,9606.ENSP00000301634,9606.ENSP00000232607,37.0,35.0
26,9606.ENSP00000419851,9606.ENSP00000232607,5.0,35.0
27,9606.ENSP00000317842,9606.ENSP00000251566,12.0,19.0
28,9606.ENSP00000480571,9606.ENSP00000251566,21.0,19.0
29,9606.ENSP00000337915,9606.ENSP00000251566,4.0,19.0
30,9606.ENSP00000353720,9606.ENSP00000251566,42.0,19.0
31,9606.ENSP00000301141,9606.ENSP00000251566,30.0,19.0
32,9606.ENSP00000302728,9606.ENSP00000251566,9.0,19.0
33,9606.ENSP00000332679,9606.ENSP00000251566,18.0,19.0
34,9606.ENSP00000480571,9606.ENSP00000265403,21.0,45.0
35,9606.ENSP00000337915,9606.ENSP00000265403,4.0,45.0
36,9606.ENSP00000387683,9606.ENSP00000265403,14.0,45.0
37,9606.ENSP00000353720,9606.ENSP00000265403,42.0,45.0
38,9606.ENSP00000301141,9606.ENSP00000265403,30.0,45.0
39,9606.ENSP00000302728,9606.ENSP00000265403,9.0,45.0
40,9606.ENSP00000332679,9606.ENSP00000265403,18.0,45.0
41,9606.ENSP00000368727,9606.ENSP00000286479,0.0,44.0
42,9606.ENSP00000353720,9606.ENSP00000286479,42.0,44.0
43,9606.ENSP00000301141,9606.ENSP00000286479,30.0,44.0
44,9606.ENSP00000443194,9606.ENSP00000286479,16.0,44.0
45,9606.ENSP00000302728,9606.ENSP00000298556,9.0,7.0
46,9606.ENSP00000369456,9606.ENSP00000298556,27.0,7.0
47,9606.ENSP00000368727,9606.ENSP00000298556,0.0,7.0
48,9606.ENSP00000321584,9606.ENSP00000298556,11.0,7.0
49,9606.ENSP00000312304,9606.ENSP00000298556,15.0,7.0
50,9606.ENSP00000345096,9606.ENSP00000298556,10.0,7.0
51,9606.ENSP00000474090,9606.ENSP00000299697,6.0,38.0
52,9606.ENSP00000364212,9606.ENSP00000299697,8.0,38.0
53,9606.ENSP00000301634,9606.ENSP00000299697,37.0,38.0
54,9606.ENSP00000330032,9606.ENSP00000299697,39.0,38.0
55,9606.ENSP00000474090,9606.ENSP00000301141,6.0,30.0
56,9606.ENSP00000362513,9606.ENSP00000301141,29.0,30.0
57,9606.ENSP00000362525,9606.ENSP00000301141,26.0,30.0
58,9606.ENSP00000332679,9606.ENSP00000301141,18.0,30.0
59,9606.ENSP00000387683,9606.ENSP00000301141,14.0,30.0
60,9606.ENSP00000304811,9606.ENSP00000301141,46.0,30.0
61,9606.ENSP00000341045,9606.ENSP00000301141,50.0,30.0
62,9606.ENSP00000305221,9606.ENSP00000301141,47.0,30.0
63,9606.ENSP00000443194,9606.ENSP00000301141,16.0,30.0
64,9606.ENSP00000303174,9606.ENSP00000301141,28.0,30.0
65,9606.ENSP00000346768,9606.ENSP00000301141,43.0,30.0
66,9606.ENSP00000301146,9606.ENSP00000301141,31.0,30.0
67,9606.ENSP00000362549,9606.ENSP00000301141,25.0,30.0
68,9606.ENSP00000343838,9606.ENSP00000301141,24.0,30.0
69,9606.ENSP00000362508,9606.ENSP00000301141,20.0,30.0
70,9606.ENSP00000368727,9606.ENSP00000301141,0.0,30.0
71,9606.ENSP00000379038,9606.ENSP00000301141,33.0,30.0
72,9606.ENSP00000359211,9606.ENSP00000301141,34.0,30.0
73,9606.ENSP00000337915,9606.ENSP00000301141,4.0,30.0
74,9606.ENSP00000330032,9606.ENSP00000301141,39.0,30.0
75,9606.ENSP00000320401,9606.ENSP00000301141,49.0,30.0
76,9606.ENSP00000304845,9606.ENSP00000301141,22.0,30.0
77,9606.ENSP00000418532,9606.ENSP00000301141,23.0,30.0
78,9606.ENSP00000480571,9606.ENSP00000301141,21.0,30.0
79,9606.ENSP00000334276,9606.ENSP00000301141,2.0,30.0
80,9606.ENSP00000330032,9606.ENSP00000301634,39.0,37.0
81,9606.ENSP00000474090,9606.ENSP00000301634,6.0,37.0
82,9606.ENSP00000334276,9606.ENSP00000302728,2.0,9.0
83,9606.ENSP00000418532,9606.ENSP00000302728,23.0,9.0
84,9606.ENSP00000303174,9606.ENSP00000302728,28.0,9.0
85,9606.ENSP00000305221,9606.ENSP00000302728,47.0,9.0
86,9606.ENSP00000341045,9606.ENSP00000302728,50.0,9.0
87,9606.ENSP00000304811,9606.ENSP00000302728,46.0,9.0
88,9606.ENSP00000387683,9606.ENSP00000302728,14.0,9.0
89,9606.ENSP00000362525,9606.ENSP00000302728,26.0,9.0
90,9606.ENSP00000362513,9606.ENSP00000302728,29.0,9.0
91,9606.ENSP00000317842,9606.ENSP00000302728,12.0,9.0
92,9606.ENSP00000320401,9606.ENSP00000302728,49.0,9.0
93,9606.ENSP00000304845,9606.ENSP00000302728,22.0,9.0
94,9606.ENSP00000362549,9606.ENSP00000302728,25.0,9.0
95,9606.ENSP00000346768,9606.ENSP00000302728,43.0,9.0
96,9606.ENSP00000343838,9606.ENSP00000302728,24.0,9.0
97,9606.ENSP00000362508,9606.ENSP00000302728,20.0,9.0
98,9606.ENSP00000332679,9606.ENSP00000303174,18.0,28.0
99,9606.ENSP00000353720,9606.ENSP00000303174,42.0,28.0
100,9606.ENSP00000359211,9606.ENSP00000303174,34.0,28.0
101,9606.ENSP00000337915,9606.ENSP00000303174,4.0,28.0
102,9606.ENSP00000480571,9606.ENSP00000303174,21.0,28.0
103,9606.ENSP00000317842,9606.ENSP00000303174,12.0,28.0
104,9606.ENSP00000312304,9606.ENSP00000303174,15.0,28.0
105,9606.ENSP00000353720,9606.ENSP00000304811,42.0,46.0
106,9606.ENSP00000387683,9606.ENSP00000304811,14.0,46.0
107,9606.ENSP00000332679,9606.ENSP00000304811,18.0,46.0
108,9606.ENSP00000480571,9606.ENSP00000304811,21.0,46.0
109,9606.ENSP00000317842,9606.ENSP00000304811,12.0,46.0
110,9606.ENSP00000332679,9606.ENSP00000304845,18.0,22.0
111,9606.ENSP00000353720,9606.ENSP00000304845,42.0,22.0
112,9606.ENSP00000359211,9606.ENSP00000304845,34.0,22.0
113,9606.ENSP00000480571,9606.ENSP00000304845,21.0,22.0
114,9606.ENSP00000312304,9606.ENSP00000304845,15.0,22.0
115,9606.ENSP00000317842,9606.ENSP00000304845,12.0,22.0
116,9606.ENSP00000332679,9606.ENSP00000305221,18.0,47.0
117,9606.ENSP00000353720,9606.ENSP00000305221,42.0,47.0
118,9606.ENSP00000337915,9606.ENSP00000305221,4.0,47.0
119,9606.ENSP00000480571,9606.ENSP00000305221,21.0,47.0
120,9606.ENSP00000317842,9606.ENSP00000305221,12.0,47.0
121,9606.ENSP00000345096,9606.ENSP00000312304,10.0,15.0
122,9606.ENSP00000359211,9606.ENSP00000312304,34.0,15.0
123,9606.ENSP00000321584,9606.ENSP00000312304,11.0,15.0
124,9606.ENSP00000368727,9606.ENSP00000312304,0.0,15.0
125,9606.ENSP00000362549,9606.ENSP00000312304,25.0,15.0
126,9606.ENSP00000419851,9606.ENSP00000312304,5.0,15.0
127,9606.ENSP00000362508,9606.ENSP00000317842,20.0,12.0
128,9606.ENSP00000353720,9606.ENSP00000317842,42.0,12.0
129,9606.ENSP00000364212,9606.ENSP00000317842,8.0,12.0
130,9606.ENSP00000362549,9606.ENSP00000317842,25.0,12.0
131,9606.ENSP00000346768,9606.ENSP00000317842,43.0,12.0
132,9606.ENSP00000362525,9606.ENSP00000317842,26.0,12.0
133,9606.ENSP00000320401,9606.ENSP00000317842,49.0,12.0
134,9606.ENSP00000418532,9606.ENSP00000317842,23.0,12.0
135,9606.ENSP00000337915,9606.ENSP00000317842,4.0,12.0
136,9606.ENSP00000332679,9606.ENSP00000320401,18.0,49.0
137,9606.ENSP00000353720,9606.ENSP00000320401,42.0,49.0
138,9606.ENSP00000341045,9606.ENSP00000320401,50.0,49.0
139,9606.ENSP00000337915,9606.ENSP00000320401,4.0,49.0
140,9606.ENSP00000480571,9606.ENSP00000320401,21.0,49.0
141,9606.ENSP00000369456,9606.ENSP00000321584,27.0,11.0
142,9606.ENSP00000330032,9606.ENSP00000324343,39.0,3.0
143,9606.ENSP00000474090,9606.ENSP00000330032,6.0,39.0
144,9606.ENSP00000362525,9606.ENSP00000332679,26.0,18.0
145,9606.ENSP00000362513,9606.ENSP00000332679,29.0,18.0
146,9606.ENSP00000362508,9606.ENSP00000332679,20.0,18.0
147,9606.ENSP00000343838,9606.ENSP00000332679,24.0,18.0
148,9606.ENSP00000362549,9606.ENSP00000332679,25.0,18.0
149,9606.ENSP00000346768,9606.ENSP00000332679,43.0,18.0
