,protein1,protein2,id1,id2
0,9606.ENSP00000310688,9606.ENSP00000218104,30.0,2.0
1,9606.ENSP00000359233,9606.ENSP00000218104,14.0,2.0
2,9606.ENSP00000359478,9606.ENSP00000237612,16.0,21.0
3,9606.ENSP00000382342,9606.ENSP00000237612,29.0,21.0
4,9606.ENSP00000297504,9606.ENSP00000253577,9.0,32.0
5,9606.ENSP00000355637,9606.ENSP00000253577,37.0,32.0
6,9606.ENSP00000303960,9606.ENSP00000260645,35.0,42.0
7,9606.ENSP00000297504,9606.ENSP00000260645,9.0,42.0
8,9606.ENSP00000265316,9606.ENSP00000260645,31.0,42.0
9,9606.ENSP00000349396,9606.ENSP00000260645,11.0,42.0
10,9606.ENSP00000344155,9606.ENSP00000260645,15.0,42.0
11,9606.ENSP00000303960,9606.ENSP00000261200,35.0,20.0
12,9606.ENSP00000272286,9606.ENSP00000265316,43.0,31.0
13,9606.ENSP00000344155,9606.ENSP00000265316,15.0,31.0
14,9606.ENSP00000349396,9606.ENSP00000265316,11.0,31.0
15,9606.ENSP00000297504,9606.ENSP00000265316,9.0,31.0
16,9606.ENSP00000478255,9606.ENSP00000265723,28.0,26.0
17,9606.ENSP00000297504,9606.ENSP00000272286,9.0,43.0
18,9606.ENSP00000349396,9606.ENSP00000272286,11.0,43.0
19,9606.ENSP00000344155,9606.ENSP00000272286,15.0,43.0
20,9606.ENSP00000349396,9606.ENSP00000297504,11.0,9.0
21,9606.ENSP00000344155,9606.ENSP00000297504,15.0,9.0
22,9606.ENSP00000366084,9606.ENSP00000301732,22.0,12.0
23,9606.ENSP00000344155,9606.ENSP00000303960,15.0,35.0
24,9606.ENSP00000359233,9606.ENSP00000310688,14.0,30.0
25,9606.ENSP00000349396,9606.ENSP00000344155,11.0,15.0
26,9606.ENSP00000440288,9606.ENSP00000349396,38.0,11.0
