,protein1,protein2,id1,id2
0,9606.ENSP00000346080,9606.ENSP00000222247,40.0,47.0
1,9606.ENSP00000346012,9606.ENSP00000222247,12.0,47.0
2,9606.ENSP00000306548,9606.ENSP00000222247,55.0,47.0
3,9606.ENSP00000306548,9606.ENSP00000225430,55.0,48.0
4,9606.ENSP00000346012,9606.ENSP00000230050,12.0,11.0
5,9606.ENSP00000346080,9606.ENSP00000230050,40.0,11.0
6,9606.ENSP00000268661,9606.ENSP00000230050,3.0,11.0
7,9606.ENSP00000306548,9606.ENSP00000251453,55.0,23.0
8,9606.ENSP00000260443,9606.ENSP00000251453,79.0,23.0
9,9606.ENSP00000306548,9606.ENSP00000259469,55.0,0.0
10,9606.ENSP00000268661,9606.ENSP00000259469,3.0,0.0
11,9606.ENSP00000346067,9606.ENSP00000260443,22.0,79.0
12,9606.ENSP00000467466,9606.ENSP00000260443,16.0,79.0
13,9606.ENSP00000362744,9606.ENSP00000260443,37.0,79.0
14,9606.ENSP00000413436,9606.ENSP00000260443,62.0,79.0
15,9606.ENSP00000270625,9606.ENSP00000260443,10.0,79.0
16,9606.ENSP00000345957,9606.ENSP00000260443,82.0,79.0
17,9606.ENSP00000318646,9606.ENSP00000260443,20.0,79.0
18,9606.ENSP00000268661,9606.ENSP00000260443,3.0,79.0
19,9606.ENSP00000298283,9606.ENSP00000260443,84.0,79.0
20,9606.ENSP00000393241,9606.ENSP00000260443,36.0,79.0
21,9606.ENSP00000296674,9606.ENSP00000260443,80.0,79.0
22,9606.ENSP00000435777,9606.ENSP00000260443,13.0,79.0
23,9606.ENSP00000274242,9606.ENSP00000260443,17.0,79.0
24,9606.ENSP00000429374,9606.ENSP00000260443,34.0,79.0
25,9606.ENSP00000379339,9606.ENSP00000260443,72.0,79.0
26,9606.ENSP00000302896,9606.ENSP00000260443,78.0,79.0
27,9606.ENSP00000481646,9606.ENSP00000260443,8.0,79.0
28,9606.ENSP00000449328,9606.ENSP00000260443,75.0,79.0
29,9606.ENSP00000322419,9606.ENSP00000260443,43.0,79.0
30,9606.ENSP00000379888,9606.ENSP00000260443,81.0,79.0
31,9606.ENSP00000428223,9606.ENSP00000260443,41.0,79.0
32,9606.ENSP00000341885,9606.ENSP00000260443,54.0,79.0
33,9606.ENSP00000346012,9606.ENSP00000260443,12.0,79.0
34,9606.ENSP00000346037,9606.ENSP00000260443,73.0,79.0
35,9606.ENSP00000346080,9606.ENSP00000260443,40.0,79.0
36,9606.ENSP00000357555,9606.ENSP00000260443,70.0,79.0
37,9606.ENSP00000472985,9606.ENSP00000260443,39.0,79.0
38,9606.ENSP00000306548,9606.ENSP00000260443,55.0,79.0
39,9606.ENSP00000472469,9606.ENSP00000260443,76.0,79.0
40,9606.ENSP00000470972,9606.ENSP00000260443,35.0,79.0
41,9606.ENSP00000348849,9606.ENSP00000260443,69.0,79.0
42,9606.ENSP00000331019,9606.ENSP00000260443,52.0,79.0
43,9606.ENSP00000339095,9606.ENSP00000260443,83.0,79.0
44,9606.ENSP00000306548,9606.ENSP00000262584,55.0,65.0
45,9606.ENSP00000357555,9606.ENSP00000268661,70.0,3.0
46,9606.ENSP00000472985,9606.ENSP00000268661,39.0,3.0
47,9606.ENSP00000346037,9606.ENSP00000268661,73.0,3.0
48,9606.ENSP00000397798,9606.ENSP00000268661,56.0,3.0
49,9606.ENSP00000404375,9606.ENSP00000268661,58.0,3.0
50,9606.ENSP00000346012,9606.ENSP00000268661,12.0,3.0
51,9606.ENSP00000346001,9606.ENSP00000268661,2.0,3.0
52,9606.ENSP00000346088,9606.ENSP00000268661,44.0,3.0
53,9606.ENSP00000339095,9606.ENSP00000268661,83.0,3.0
54,9606.ENSP00000375730,9606.ENSP00000268661,67.0,3.0
55,9606.ENSP00000331019,9606.ENSP00000268661,52.0,3.0
56,9606.ENSP00000470972,9606.ENSP00000268661,35.0,3.0
57,9606.ENSP00000472469,9606.ENSP00000268661,76.0,3.0
58,9606.ENSP00000306548,9606.ENSP00000268661,55.0,3.0
59,9606.ENSP00000414321,9606.ENSP00000268661,77.0,3.0
60,9606.ENSP00000363018,9606.ENSP00000268661,51.0,3.0
61,9606.ENSP00000379339,9606.ENSP00000268661,72.0,3.0
62,9606.ENSP00000346027,9606.ENSP00000268661,49.0,3.0
63,9606.ENSP00000346050,9606.ENSP00000268661,50.0,3.0
64,9606.ENSP00000274242,9606.ENSP00000268661,17.0,3.0
65,9606.ENSP00000435777,9606.ENSP00000268661,13.0,3.0
66,9606.ENSP00000270625,9606.ENSP00000268661,10.0,3.0
67,9606.ENSP00000413436,9606.ENSP00000268661,62.0,3.0
68,9606.ENSP00000346067,9606.ENSP00000268661,22.0,3.0
69,9606.ENSP00000428223,9606.ENSP00000268661,41.0,3.0
70,9606.ENSP00000418868,9606.ENSP00000268661,28.0,3.0
71,9606.ENSP00000449328,9606.ENSP00000268661,75.0,3.0
72,9606.ENSP00000481646,9606.ENSP00000268661,8.0,3.0
73,9606.ENSP00000306548,9606.ENSP00000270625,55.0,10.0
74,9606.ENSP00000346080,9606.ENSP00000270625,40.0,10.0
75,9606.ENSP00000306548,9606.ENSP00000278572,55.0,53.0
76,9606.ENSP00000306548,9606.ENSP00000296674,55.0,80.0
77,9606.ENSP00000428223,9606.ENSP00000298283,41.0,84.0
78,9606.ENSP00000413436,9606.ENSP00000298283,62.0,84.0
79,9606.ENSP00000331019,9606.ENSP00000298283,52.0,84.0
80,9606.ENSP00000346012,9606.ENSP00000302896,12.0,78.0
81,9606.ENSP00000306548,9606.ENSP00000302896,55.0,78.0
82,9606.ENSP00000309830,9606.ENSP00000306548,18.0,55.0
83,9606.ENSP00000346027,9606.ENSP00000306548,49.0,55.0
84,9606.ENSP00000346050,9606.ENSP00000306548,50.0,55.0
85,9606.ENSP00000435777,9606.ENSP00000306548,13.0,55.0
86,9606.ENSP00000378163,9606.ENSP00000306548,9.0,55.0
87,9606.ENSP00000414321,9606.ENSP00000306548,77.0,55.0
88,9606.ENSP00000388107,9606.ENSP00000306548,31.0,55.0
89,9606.ENSP00000379339,9606.ENSP00000306548,72.0,55.0
90,9606.ENSP00000363018,9606.ENSP00000306548,51.0,55.0
91,9606.ENSP00000429374,9606.ENSP00000306548,34.0,55.0
92,9606.ENSP00000346015,9606.ENSP00000306548,30.0,55.0
93,9606.ENSP00000359345,9606.ENSP00000306548,6.0,55.0
94,9606.ENSP00000318646,9606.ENSP00000306548,20.0,55.0
95,9606.ENSP00000345957,9606.ENSP00000306548,82.0,55.0
96,9606.ENSP00000389103,9606.ENSP00000306548,45.0,55.0
97,9606.ENSP00000346067,9606.ENSP00000306548,22.0,55.0
98,9606.ENSP00000386717,9606.ENSP00000306548,4.0,55.0
99,9606.ENSP00000362744,9606.ENSP00000306548,37.0,55.0
100,9606.ENSP00000467466,9606.ENSP00000306548,16.0,55.0
101,9606.ENSP00000379888,9606.ENSP00000306548,81.0,55.0
102,9606.ENSP00000428223,9606.ENSP00000306548,41.0,55.0
103,9606.ENSP00000363676,9606.ENSP00000306548,64.0,55.0
104,9606.ENSP00000322419,9606.ENSP00000306548,43.0,55.0
105,9606.ENSP00000463784,9606.ENSP00000306548,26.0,55.0
