,protein1,protein2,id1,id2
0,9606.ENSP00000238714,9606.ENSP00000216277,56.0,20.0
1,9606.ENSP00000230640,9606.ENSP00000216277,2.0,20.0
2,9606.ENSP00000384700,9606.ENSP00000216277,52.0,20.0
3,9606.ENSP00000351596,9606.ENSP00000221233,10.0,9.0
4,9606.ENSP00000366396,9606.ENSP00000221233,8.0,9.0
5,9606.ENSP00000387911,9606.ENSP00000221233,18.0,9.0
6,9606.ENSP00000264951,9606.ENSP00000221233,17.0,9.0
7,9606.ENSP00000364543,9606.ENSP00000221233,7.0,9.0
8,9606.ENSP00000267973,9606.ENSP00000221233,54.0,9.0
9,9606.ENSP00000373715,9606.ENSP00000221233,46.0,9.0
10,9606.ENSP00000230859,9606.ENSP00000221233,27.0,9.0
11,9606.ENSP00000443113,9606.ENSP00000221233,23.0,9.0
12,9606.ENSP00000315476,9606.ENSP00000229195,4.0,16.0
13,9606.ENSP00000230640,9606.ENSP00000229195,2.0,16.0
14,9606.ENSP00000264951,9606.ENSP00000229195,17.0,16.0
15,9606.ENSP00000265564,9606.ENSP00000229195,39.0,16.0
16,9606.ENSP00000478754,9606.ENSP00000229195,21.0,16.0
17,9606.ENSP00000267973,9606.ENSP00000230640,54.0,2.0
18,9606.ENSP00000264951,9606.ENSP00000230640,17.0,2.0
19,9606.ENSP00000351596,9606.ENSP00000230640,10.0,2.0
20,9606.ENSP00000238714,9606.ENSP00000230640,56.0,2.0
21,9606.ENSP00000366396,9606.ENSP00000230640,8.0,2.0
22,9606.ENSP00000445508,9606.ENSP00000230640,25.0,2.0
23,9606.ENSP00000273064,9606.ENSP00000230640,35.0,2.0
24,9606.ENSP00000323046,9606.ENSP00000230859,12.0,27.0
25,9606.ENSP00000366135,9606.ENSP00000230859,49.0,27.0
26,9606.ENSP00000364543,9606.ENSP00000230859,7.0,27.0
27,9606.ENSP00000398597,9606.ENSP00000230859,32.0,27.0
28,9606.ENSP00000366997,9606.ENSP00000230859,41.0,27.0
29,9606.ENSP00000324105,9606.ENSP00000234590,42.0,24.0
30,9606.ENSP00000437402,9606.ENSP00000234590,43.0,24.0
31,9606.ENSP00000297185,9606.ENSP00000234590,29.0,24.0
32,9606.ENSP00000384700,9606.ENSP00000238714,52.0,56.0
33,9606.ENSP00000264951,9606.ENSP00000249299,17.0,34.0
34,9606.ENSP00000310596,9606.ENSP00000249299,30.0,34.0
35,9606.ENSP00000351811,9606.ENSP00000252622,14.0,33.0
36,9606.ENSP00000280665,9606.ENSP00000252622,53.0,33.0
37,9606.ENSP00000476046,9606.ENSP00000252622,22.0,33.0
38,9606.ENSP00000400646,9606.ENSP00000258169,5.0,1.0
39,9606.ENSP00000366396,9606.ENSP00000263579,8.0,51.0
40,9606.ENSP00000264951,9606.ENSP00000263579,17.0,51.0
41,9606.ENSP00000320503,9606.ENSP00000263579,50.0,51.0
42,9606.ENSP00000373715,9606.ENSP00000263579,46.0,51.0
43,9606.ENSP00000398597,9606.ENSP00000264951,32.0,17.0
44,9606.ENSP00000315476,9606.ENSP00000264951,4.0,17.0
45,9606.ENSP00000387911,9606.ENSP00000264951,18.0,17.0
