,protein1,protein2,id1,id2
0,9606.ENSP00000338039,9606.ENSP00000044462,14.0,11.0
1,9606.ENSP00000338039,9606.ENSP00000157812,14.0,24.0
2,9606.ENSP00000293362,9606.ENSP00000157812,17.0,24.0
3,9606.ENSP00000370222,9606.ENSP00000215071,6.0,10.0
4,9606.ENSP00000372155,9606.ENSP00000215071,29.0,10.0
5,9606.ENSP00000338039,9606.ENSP00000215071,14.0,10.0
6,9606.ENSP00000384211,9606.ENSP00000215071,16.0,10.0
7,9606.ENSP00000216802,9606.ENSP00000215071,32.0,10.0
8,9606.ENSP00000338039,9606.ENSP00000216455,14.0,12.0
9,9606.ENSP00000264639,9606.ENSP00000216802,21.0,32.0
10,9606.ENSP00000310129,9606.ENSP00000216802,20.0,32.0
11,9606.ENSP00000310572,9606.ENSP00000216802,26.0,32.0
12,9606.ENSP00000348442,9606.ENSP00000216802,1.0,32.0
13,9606.ENSP00000386541,9606.ENSP00000216802,27.0,32.0
14,9606.ENSP00000386212,9606.ENSP00000216802,3.0,32.0
15,9606.ENSP00000481029,9606.ENSP00000216802,30.0,32.0
16,9606.ENSP00000359910,9606.ENSP00000216802,41.0,32.0
17,9606.ENSP00000384211,9606.ENSP00000216802,16.0,32.0
18,9606.ENSP00000261303,9606.ENSP00000216802,35.0,32.0
19,9606.ENSP00000338039,9606.ENSP00000216802,14.0,32.0
20,9606.ENSP00000309474,9606.ENSP00000216802,23.0,32.0
21,9606.ENSP00000357879,9606.ENSP00000216802,5.0,32.0
22,9606.ENSP00000261712,9606.ENSP00000216802,0.0,32.0
23,9606.ENSP00000293362,9606.ENSP00000216802,17.0,32.0
24,9606.ENSP00000396937,9606.ENSP00000216802,2.0,32.0
25,9606.ENSP00000311121,9606.ENSP00000216802,43.0,32.0
26,9606.ENSP00000229135,9606.ENSP00000216802,15.0,32.0
27,9606.ENSP00000401802,9606.ENSP00000216802,22.0,32.0
28,9606.ENSP00000391211,9606.ENSP00000216802,37.0,32.0
29,9606.ENSP00000384211,9606.ENSP00000219313,16.0,8.0
30,9606.ENSP00000372155,9606.ENSP00000219313,29.0,8.0
31,9606.ENSP00000338039,9606.ENSP00000219313,14.0,8.0
32,9606.ENSP00000293362,9606.ENSP00000219313,17.0,8.0
33,9606.ENSP00000338039,9606.ENSP00000223321,14.0,13.0
34,9606.ENSP00000372155,9606.ENSP00000223321,29.0,13.0
35,9606.ENSP00000293362,9606.ENSP00000223321,17.0,13.0
36,9606.ENSP00000372155,9606.ENSP00000229135,29.0,15.0
37,9606.ENSP00000293362,9606.ENSP00000229135,17.0,15.0
38,9606.ENSP00000351314,9606.ENSP00000259457,18.0,36.0
39,9606.ENSP00000293362,9606.ENSP00000259457,17.0,36.0
40,9606.ENSP00000370222,9606.ENSP00000261303,6.0,35.0
41,9606.ENSP00000293362,9606.ENSP00000261303,17.0,35.0
42,9606.ENSP00000338039,9606.ENSP00000261303,14.0,35.0
43,9606.ENSP00000384211,9606.ENSP00000261303,16.0,35.0
44,9606.ENSP00000372155,9606.ENSP00000261303,29.0,35.0
45,9606.ENSP00000370222,9606.ENSP00000261479,6.0,40.0
46,9606.ENSP00000338039,9606.ENSP00000261479,14.0,40.0
47,9606.ENSP00000370222,9606.ENSP00000261712,6.0,0.0
48,9606.ENSP00000386212,9606.ENSP00000261712,3.0,0.0
49,9606.ENSP00000384211,9606.ENSP00000261712,16.0,0.0
50,9606.ENSP00000338039,9606.ENSP00000261712,14.0,0.0
51,9606.ENSP00000372155,9606.ENSP00000261712,29.0,0.0
52,9606.ENSP00000338039,9606.ENSP00000262193,14.0,42.0
53,9606.ENSP00000386212,9606.ENSP00000264639,3.0,21.0
54,9606.ENSP00000372155,9606.ENSP00000264639,29.0,21.0
55,9606.ENSP00000293362,9606.ENSP00000264639,17.0,21.0
56,9606.ENSP00000370222,9606.ENSP00000264639,6.0,21.0
57,9606.ENSP00000338039,9606.ENSP00000264639,14.0,21.0
58,9606.ENSP00000370222,9606.ENSP00000270586,6.0,38.0
59,9606.ENSP00000293362,9606.ENSP00000270586,17.0,38.0
60,9606.ENSP00000338039,9606.ENSP00000270586,14.0,38.0
61,9606.ENSP00000372155,9606.ENSP00000270586,29.0,38.0
62,9606.ENSP00000363993,9606.ENSP00000270586,19.0,38.0
63,9606.ENSP00000338039,9606.ENSP00000271308,14.0,9.0
64,9606.ENSP00000372155,9606.ENSP00000271308,29.0,9.0
65,9606.ENSP00000293362,9606.ENSP00000290541,17.0,33.0
66,9606.ENSP00000309474,9606.ENSP00000293362,23.0,17.0
67,9606.ENSP00000364016,9606.ENSP00000293362,39.0,17.0
68,9606.ENSP00000357879,9606.ENSP00000293362,5.0,17.0
69,9606.ENSP00000396937,9606.ENSP00000293362,2.0,17.0
70,9606.ENSP00000391211,9606.ENSP00000293362,37.0,17.0
71,9606.ENSP00000310129,9606.ENSP00000293362,20.0,17.0
72,9606.ENSP00000363993,9606.ENSP00000293362,19.0,17.0
73,9606.ENSP00000351314,9606.ENSP00000293362,18.0,17.0
74,9606.ENSP00000386212,9606.ENSP00000293362,3.0,17.0
75,9606.ENSP00000481029,9606.ENSP00000293362,30.0,17.0
76,9606.ENSP00000310572,9606.ENSP00000293362,26.0,17.0
77,9606.ENSP00000386541,9606.ENSP00000293362,27.0,17.0
78,9606.ENSP00000372155,9606.ENSP00000293362,29.0,17.0
79,9606.ENSP00000355325,9606.ENSP00000293362,31.0,17.0
80,9606.ENSP00000338039,9606.ENSP00000293362,14.0,17.0
81,9606.ENSP00000384211,9606.ENSP00000293362,16.0,17.0
82,9606.ENSP00000338039,9606.ENSP00000309474,14.0,23.0
83,9606.ENSP00000384211,9606.ENSP00000309474,16.0,23.0
84,9606.ENSP00000372155,9606.ENSP00000309474,29.0,23.0
85,9606.ENSP00000370222,9606.ENSP00000310129,6.0,20.0
86,9606.ENSP00000372155,9606.ENSP00000310129,29.0,20.0
87,9606.ENSP00000384211,9606.ENSP00000310129,16.0,20.0
88,9606.ENSP00000338039,9606.ENSP00000310129,14.0,20.0
89,9606.ENSP00000372155,9606.ENSP00000310572,29.0,26.0
90,9606.ENSP00000384211,9606.ENSP00000310572,16.0,26.0
91,9606.ENSP00000338039,9606.ENSP00000310572,14.0,26.0
92,9606.ENSP00000370222,9606.ENSP00000310572,6.0,26.0
93,9606.ENSP00000338039,9606.ENSP00000311121,14.0,43.0
94,9606.ENSP00000370222,9606.ENSP00000311121,6.0,43.0
95,9606.ENSP00000359910,9606.ENSP00000311121,41.0,43.0
96,9606.ENSP00000372155,9606.ENSP00000311121,29.0,43.0
97,9606.ENSP00000386541,9606.ENSP00000338039,27.0,14.0
98,9606.ENSP00000357879,9606.ENSP00000338039,5.0,14.0
99,9606.ENSP00000348442,9606.ENSP00000338039,1.0,14.0
100,9606.ENSP00000481029,9606.ENSP00000338039,30.0,14.0
101,9606.ENSP00000386212,9606.ENSP00000338039,3.0,14.0
102,9606.ENSP00000362334,9606.ENSP00000338039,28.0,14.0
103,9606.ENSP00000351314,9606.ENSP00000338039,18.0,14.0
104,9606.ENSP00000363993,9606.ENSP00000338039,19.0,14.0
105,9606.ENSP00000364016,9606.ENSP00000338039,39.0,14.0
106,9606.ENSP00000384211,9606.ENSP00000338039,16.0,14.0
107,9606.ENSP00000391211,9606.ENSP00000338039,37.0,14.0
108,9606.ENSP00000355325,9606.ENSP00000338039,31.0,14.0
109,9606.ENSP00000401802,9606.ENSP00000338039,22.0,14.0
110,9606.ENSP00000372155,9606.ENSP00000338039,29.0,14.0
111,9606.ENSP00000396937,9606.ENSP00000338039,2.0,14.0
112,9606.ENSP00000359910,9606.ENSP00000338039,41.0,14.0
113,9606.ENSP00000483688,9606.ENSP00000338039,25.0,14.0
114,9606.ENSP00000370222,9606.ENSP00000348442,6.0,1.0
115,9606.ENSP00000372155,9606.ENSP00000348442,29.0,1.0
116,9606.ENSP00000370222,9606.ENSP00000351314,6.0,18.0
117,9606.ENSP00000370222,9606.ENSP00000355325,6.0,31.0
118,9606.ENSP00000364016,9606.ENSP00000355325,39.0,31.0
119,9606.ENSP00000372155,9606.ENSP00000355325,29.0,31.0
120,9606.ENSP00000386212,9606.ENSP00000355325,3.0,31.0
121,9606.ENSP00000372155,9606.ENSP00000357879,29.0,5.0
122,9606.ENSP00000370222,9606.ENSP00000357879,6.0,5.0
123,9606.ENSP00000386212,9606.ENSP00000364016,3.0,39.0
124,9606.ENSP00000481029,9606.ENSP00000370222,30.0,6.0
125,9606.ENSP00000386541,9606.ENSP00000370222,27.0,6.0
126,9606.ENSP00000384211,9606.ENSP00000370222,16.0,6.0
127,9606.ENSP00000401802,9606.ENSP00000370222,22.0,6.0
128,9606.ENSP00000391211,9606.ENSP00000370222,37.0,6.0
129,9606.ENSP00000401802,9606.ENSP00000372155,22.0,29.0
130,9606.ENSP00000391211,9606.ENSP00000372155,37.0,29.0
131,9606.ENSP00000396937,9606.ENSP00000372155,2.0,29.0
132,9606.ENSP00000386212,9606.ENSP00000372155,3.0,29.0
133,9606.ENSP00000481029,9606.ENSP00000372155,30.0,29.0
134,9606.ENSP00000384211,9606.ENSP00000372155,16.0,29.0
135,9606.ENSP00000396937,9606.ENSP00000384211,2.0,16.0
