,protein1,protein2,id1,id2
0,9606.ENSP00000319814,9606.ENSP00000216780,46.0,42.0
1,9606.ENSP00000295834,9606.ENSP00000227667,40.0,29.0
2,9606.ENSP00000417138,9606.ENSP00000227667,25.0,29.0
3,9606.ENSP00000439012,9606.ENSP00000227667,15.0,29.0
4,9606.ENSP00000477707,9606.ENSP00000231887,16.0,60.0
5,9606.ENSP00000309757,9606.ENSP00000231887,39.0,60.0
6,9606.ENSP00000356969,9606.ENSP00000231887,6.0,60.0
7,9606.ENSP00000359871,9606.ENSP00000231887,5.0,60.0
8,9606.ENSP00000236850,9606.ENSP00000231887,9.0,60.0
9,9606.ENSP00000358719,9606.ENSP00000231887,18.0,60.0
10,9606.ENSP00000360541,9606.ENSP00000231887,34.0,60.0
11,9606.ENSP00000358414,9606.ENSP00000231887,59.0,60.0
12,9606.ENSP00000295834,9606.ENSP00000231887,40.0,60.0
13,9606.ENSP00000267842,9606.ENSP00000231887,38.0,60.0
14,9606.ENSP00000419692,9606.ENSP00000231887,27.0,60.0
15,9606.ENSP00000333664,9606.ENSP00000233710,35.0,3.0
16,9606.ENSP00000368566,9606.ENSP00000233710,17.0,3.0
17,9606.ENSP00000348429,9606.ENSP00000233710,56.0,3.0
18,9606.ENSP00000350012,9606.ENSP00000233710,67.0,3.0
19,9606.ENSP00000348775,9606.ENSP00000233710,31.0,3.0
20,9606.ENSP00000339787,9606.ENSP00000233710,68.0,3.0
21,9606.ENSP00000267842,9606.ENSP00000233710,38.0,3.0
22,9606.ENSP00000293217,9606.ENSP00000233710,66.0,3.0
23,9606.ENSP00000359871,9606.ENSP00000233710,5.0,3.0
24,9606.ENSP00000265641,9606.ENSP00000233710,41.0,3.0
25,9606.ENSP00000358719,9606.ENSP00000236850,18.0,9.0
26,9606.ENSP00000265641,9606.ENSP00000236850,41.0,9.0
27,9606.ENSP00000399421,9606.ENSP00000236850,7.0,9.0
28,9606.ENSP00000445002,9606.ENSP00000236850,22.0,9.0
29,9606.ENSP00000293217,9606.ENSP00000236850,66.0,9.0
30,9606.ENSP00000439012,9606.ENSP00000236850,15.0,9.0
31,9606.ENSP00000419692,9606.ENSP00000236850,27.0,9.0
32,9606.ENSP00000422607,9606.ENSP00000252595,64.0,11.0
33,9606.ENSP00000348429,9606.ENSP00000252595,56.0,11.0
34,9606.ENSP00000419692,9606.ENSP00000252595,27.0,11.0
35,9606.ENSP00000295834,9606.ENSP00000252595,40.0,11.0
36,9606.ENSP00000399421,9606.ENSP00000252595,7.0,11.0
37,9606.ENSP00000300456,9606.ENSP00000252595,1.0,11.0
38,9606.ENSP00000377549,9606.ENSP00000256104,54.0,43.0
39,9606.ENSP00000300055,9606.ENSP00000256104,50.0,43.0
40,9606.ENSP00000389814,9606.ENSP00000256104,57.0,43.0
41,9606.ENSP00000385523,9606.ENSP00000256104,48.0,43.0
42,9606.ENSP00000309757,9606.ENSP00000256104,39.0,43.0
43,9606.ENSP00000295834,9606.ENSP00000256104,40.0,43.0
44,9606.ENSP00000262999,9606.ENSP00000256104,14.0,43.0
45,9606.ENSP00000419692,9606.ENSP00000256104,27.0,43.0
46,9606.ENSP00000263093,9606.ENSP00000258415,0.0,32.0
47,9606.ENSP00000318867,9606.ENSP00000258415,13.0,32.0
48,9606.ENSP00000399421,9606.ENSP00000262462,7.0,58.0
49,9606.ENSP00000422607,9606.ENSP00000262462,64.0,58.0
50,9606.ENSP00000385523,9606.ENSP00000262999,48.0,14.0
51,9606.ENSP00000379011,9606.ENSP00000262999,36.0,14.0
52,9606.ENSP00000389814,9606.ENSP00000262999,57.0,14.0
53,9606.ENSP00000300055,9606.ENSP00000262999,50.0,14.0
54,9606.ENSP00000287820,9606.ENSP00000262999,62.0,14.0
55,9606.ENSP00000422607,9606.ENSP00000263093,64.0,0.0
56,9606.ENSP00000295834,9606.ENSP00000263093,40.0,0.0
57,9606.ENSP00000360569,9606.ENSP00000263093,47.0,0.0
58,9606.ENSP00000379011,9606.ENSP00000265641,36.0,41.0
59,9606.ENSP00000309757,9606.ENSP00000265641,39.0,41.0
60,9606.ENSP00000358719,9606.ENSP00000265641,18.0,41.0
61,9606.ENSP00000350012,9606.ENSP00000265641,67.0,41.0
62,9606.ENSP00000348429,9606.ENSP00000265641,56.0,41.0
63,9606.ENSP00000477707,9606.ENSP00000265641,16.0,41.0
64,9606.ENSP00000368566,9606.ENSP00000265641,17.0,41.0
65,9606.ENSP00000360541,9606.ENSP00000265641,34.0,41.0
66,9606.ENSP00000319814,9606.ENSP00000265641,46.0,41.0
67,9606.ENSP00000422607,9606.ENSP00000265641,64.0,41.0
68,9606.ENSP00000339787,9606.ENSP00000265641,68.0,41.0
69,9606.ENSP00000376303,9606.ENSP00000265641,44.0,41.0
70,9606.ENSP00000419692,9606.ENSP00000265641,27.0,41.0
71,9606.ENSP00000356969,9606.ENSP00000265641,6.0,41.0
72,9606.ENSP00000359871,9606.ENSP00000265641,5.0,41.0
73,9606.ENSP00000307697,9606.ENSP00000267842,30.0,38.0
74,9606.ENSP00000278840,9606.ENSP00000267842,8.0,38.0
75,9606.ENSP00000360569,9606.ENSP00000267842,47.0,38.0
76,9606.ENSP00000293217,9606.ENSP00000267842,66.0,38.0
77,9606.ENSP00000348775,9606.ENSP00000267842,31.0,38.0
78,9606.ENSP00000350012,9606.ENSP00000267842,67.0,38.0
79,9606.ENSP00000422607,9606.ENSP00000267842,64.0,38.0
80,9606.ENSP00000295834,9606.ENSP00000274024,40.0,45.0
81,9606.ENSP00000377549,9606.ENSP00000274024,54.0,45.0
82,9606.ENSP00000359380,9606.ENSP00000278840,12.0,8.0
83,9606.ENSP00000339787,9606.ENSP00000278840,68.0,8.0
84,9606.ENSP00000316329,9606.ENSP00000278840,65.0,8.0
85,9606.ENSP00000350012,9606.ENSP00000278840,67.0,8.0
86,9606.ENSP00000348429,9606.ENSP00000278840,56.0,8.0
87,9606.ENSP00000368566,9606.ENSP00000278840,17.0,8.0
88,9606.ENSP00000422607,9606.ENSP00000278840,64.0,8.0
89,9606.ENSP00000297258,9606.ENSP00000287820,53.0,62.0
90,9606.ENSP00000352900,9606.ENSP00000287820,24.0,62.0
91,9606.ENSP00000301455,9606.ENSP00000287820,37.0,62.0
92,9606.ENSP00000363817,9606.ENSP00000287820,23.0,62.0
93,9606.ENSP00000359380,9606.ENSP00000287820,12.0,62.0
94,9606.ENSP00000295834,9606.ENSP00000287820,40.0,62.0
95,9606.ENSP00000350012,9606.ENSP00000293217,67.0,66.0
96,9606.ENSP00000477707,9606.ENSP00000293217,16.0,66.0
97,9606.ENSP00000358719,9606.ENSP00000293217,18.0,66.0
98,9606.ENSP00000309757,9606.ENSP00000293217,39.0,66.0
99,9606.ENSP00000359871,9606.ENSP00000293217,5.0,66.0
100,9606.ENSP00000359380,9606.ENSP00000293217,12.0,66.0
101,9606.ENSP00000307697,9606.ENSP00000293217,30.0,66.0
102,9606.ENSP00000356969,9606.ENSP00000293217,6.0,66.0
103,9606.ENSP00000419692,9606.ENSP00000293217,27.0,66.0
104,9606.ENSP00000348775,9606.ENSP00000293217,31.0,66.0
105,9606.ENSP00000339787,9606.ENSP00000293217,68.0,66.0
106,9606.ENSP00000359871,9606.ENSP00000295834,5.0,40.0
107,9606.ENSP00000399421,9606.ENSP00000295834,7.0,40.0
108,9606.ENSP00000356969,9606.ENSP00000295834,6.0,40.0
109,9606.ENSP00000419692,9606.ENSP00000295834,27.0,40.0
110,9606.ENSP00000445002,9606.ENSP00000295834,22.0,40.0
111,9606.ENSP00000422607,9606.ENSP00000295834,64.0,40.0
112,9606.ENSP00000360541,9606.ENSP00000295834,34.0,40.0
113,9606.ENSP00000311095,9606.ENSP00000295834,4.0,40.0
114,9606.ENSP00000477707,9606.ENSP00000295834,16.0,40.0
115,9606.ENSP00000358719,9606.ENSP00000295834,18.0,40.0
116,9606.ENSP00000362817,9606.ENSP00000295834,52.0,40.0
117,9606.ENSP00000297258,9606.ENSP00000295834,53.0,40.0
118,9606.ENSP00000358414,9606.ENSP00000295834,59.0,40.0
119,9606.ENSP00000309757,9606.ENSP00000295834,39.0,40.0
120,9606.ENSP00000310928,9606.ENSP00000297258,63.0,53.0
121,9606.ENSP00000439012,9606.ENSP00000297258,15.0,53.0
122,9606.ENSP00000419692,9606.ENSP00000297258,27.0,53.0
123,9606.ENSP00000300055,9606.ENSP00000297988,50.0,49.0
124,9606.ENSP00000477707,9606.ENSP00000300055,16.0,50.0
125,9606.ENSP00000389814,9606.ENSP00000300055,57.0,50.0
126,9606.ENSP00000363817,9606.ENSP00000300055,23.0,50.0
127,9606.ENSP00000419692,9606.ENSP00000300055,27.0,50.0
128,9606.ENSP00000419692,9606.ENSP00000301455,27.0,37.0
129,9606.ENSP00000419692,9606.ENSP00000301645,27.0,10.0
130,9606.ENSP00000477707,9606.ENSP00000301645,16.0,10.0
131,9606.ENSP00000377549,9606.ENSP00000301645,54.0,10.0
132,9606.ENSP00000348775,9606.ENSP00000307697,31.0,30.0
133,9606.ENSP00000339787,9606.ENSP00000307697,68.0,30.0
134,9606.ENSP00000333664,9606.ENSP00000307697,35.0,30.0
135,9606.ENSP00000360541,9606.ENSP00000307697,34.0,30.0
136,9606.ENSP00000350012,9606.ENSP00000307697,67.0,30.0
137,9606.ENSP00000422607,9606.ENSP00000309757,64.0,39.0
138,9606.ENSP00000417138,9606.ENSP00000309757,25.0,39.0
139,9606.ENSP00000368566,9606.ENSP00000309757,17.0,39.0
140,9606.ENSP00000477707,9606.ENSP00000309757,16.0,39.0
141,9606.ENSP00000350012,9606.ENSP00000309757,67.0,39.0
142,9606.ENSP00000348429,9606.ENSP00000309757,56.0,39.0
143,9606.ENSP00000358719,9606.ENSP00000309757,18.0,39.0
144,9606.ENSP00000389814,9606.ENSP00000309757,57.0,39.0
145,9606.ENSP00000419692,9606.ENSP00000309757,27.0,39.0
146,9606.ENSP00000339787,9606.ENSP00000309757,68.0,39.0
147,9606.ENSP00000352900,9606.ENSP00000310928,24.0,63.0
148,9606.ENSP00000363817,9606.ENSP00000310928,23.0,63.0
149,9606.ENSP00000360958,9606.ENSP00000311095,51.0,4.0
150,9606.ENSP00000385523,9606.ENSP00000311095,48.0,4.0
151,9606.ENSP00000419692,9606.ENSP00000311095,27.0,4.0
152,9606.ENSP00000359380,9606.ENSP00000316329,12.0,65.0
153,9606.ENSP00000419692,9606.ENSP00000319814,27.0,46.0
154,9606.ENSP00000363817,9606.ENSP00000319814,23.0,46.0
155,9606.ENSP00000477707,9606.ENSP00000319814,16.0,46.0
156,9606.ENSP00000360569,9606.ENSP00000333664,47.0,35.0
157,9606.ENSP00000359871,9606.ENSP00000333664,5.0,35.0
158,9606.ENSP00000422607,9606.ENSP00000333664,64.0,35.0
159,9606.ENSP00000376303,9606.ENSP00000339787,44.0,68.0
160,9606.ENSP00000379011,9606.ENSP00000339787,36.0,68.0
161,9606.ENSP00000422607,9606.ENSP00000339787,64.0,68.0
162,9606.ENSP00000368566,9606.ENSP00000339787,17.0,68.0
163,9606.ENSP00000350012,9606.ENSP00000339787,67.0,68.0
164,9606.ENSP00000348429,9606.ENSP00000339787,56.0,68.0
165,9606.ENSP00000359380,9606.ENSP00000339787,12.0,68.0
166,9606.ENSP00000376303,9606.ENSP00000348429,44.0,56.0
167,9606.ENSP00000379011,9606.ENSP00000348429,36.0,56.0
168,9606.ENSP00000350012,9606.ENSP00000348429,67.0,56.0
169,9606.ENSP00000422607,9606.ENSP00000348429,64.0,56.0
170,9606.ENSP00000360541,9606.ENSP00000348775,34.0,31.0
171,9606.ENSP00000376303,9606.ENSP00000350012,44.0,67.0
172,9606.ENSP00000359380,9606.ENSP00000350012,12.0,67.0
173,9606.ENSP00000379011,9606.ENSP00000350012,36.0,67.0
174,9606.ENSP00000368566,9606.ENSP00000350012,17.0,67.0
175,9606.ENSP00000422607,9606.ENSP00000350012,64.0,67.0
176,9606.ENSP00000401720,9606.ENSP00000351706,20.0,21.0
177,9606.ENSP00000385523,9606.ENSP00000352900,48.0,24.0
178,9606.ENSP00000363817,9606.ENSP00000352900,23.0,24.0
179,9606.ENSP00000419692,9606.ENSP00000352900,27.0,24.0
180,9606.ENSP00000358719,9606.ENSP00000356969,18.0,6.0
181,9606.ENSP00000477707,9606.ENSP00000356969,16.0,6.0
182,9606.ENSP00000385523,9606.ENSP00000356969,48.0,6.0
