,protein1,protein2,id1,id2
0,9606.ENSP00000263681,9606.ENSP00000013807,18.0,25.0
1,9606.ENSP00000301764,9606.ENSP00000013807,23.0,25.0
2,9606.ENSP00000256996,9606.ENSP00000013807,16.0,25.0
3,9606.ENSP00000254719,9606.ENSP00000013807,13.0,25.0
4,9606.ENSP00000285398,9606.ENSP00000013807,4.0,25.0
5,9606.ENSP00000384109,9606.ENSP00000013807,39.0,25.0
6,9606.ENSP00000263274,9606.ENSP00000013807,37.0,25.0
7,9606.ENSP00000406046,9606.ENSP00000013807,26.0,25.0
8,9606.ENSP00000256443,9606.ENSP00000013807,36.0,25.0
9,9606.ENSP00000423550,9606.ENSP00000013807,5.0,25.0
10,9606.ENSP00000328901,9606.ENSP00000013807,34.0,25.0
11,9606.ENSP00000322570,9606.ENSP00000013807,28.0,25.0
12,9606.ENSP00000223129,9606.ENSP00000013807,17.0,25.0
13,9606.ENSP00000476100,9606.ENSP00000013807,7.0,25.0
14,9606.ENSP00000467024,9606.ENSP00000013807,20.0,25.0
15,9606.ENSP00000256897,9606.ENSP00000013807,41.0,25.0
16,9606.ENSP00000265963,9606.ENSP00000013807,35.0,25.0
17,9606.ENSP00000364589,9606.ENSP00000013807,38.0,25.0
18,9606.ENSP00000445162,9606.ENSP00000013807,43.0,25.0
19,9606.ENSP00000259895,9606.ENSP00000013807,42.0,25.0
20,9606.ENSP00000055077,9606.ENSP00000013807,31.0,25.0
21,9606.ENSP00000261245,9606.ENSP00000013807,0.0,25.0
22,9606.ENSP00000363017,9606.ENSP00000013807,19.0,25.0
23,9606.ENSP00000359300,9606.ENSP00000013807,11.0,25.0
24,9606.ENSP00000223129,9606.ENSP00000055077,17.0,31.0
25,9606.ENSP00000480186,9606.ENSP00000055077,27.0,31.0
26,9606.ENSP00000310520,9606.ENSP00000055077,2.0,31.0
27,9606.ENSP00000216367,9606.ENSP00000055077,24.0,31.0
28,9606.ENSP00000420176,9606.ENSP00000055077,1.0,31.0
29,9606.ENSP00000263274,9606.ENSP00000055077,37.0,31.0
30,9606.ENSP00000363286,9606.ENSP00000055077,3.0,31.0
31,9606.ENSP00000322570,9606.ENSP00000055077,28.0,31.0
32,9606.ENSP00000364270,9606.ENSP00000055077,33.0,31.0
33,9606.ENSP00000375809,9606.ENSP00000055077,9.0,31.0
34,9606.ENSP00000263681,9606.ENSP00000055077,18.0,31.0
35,9606.ENSP00000256996,9606.ENSP00000055077,16.0,31.0
36,9606.ENSP00000406046,9606.ENSP00000055077,26.0,31.0
37,9606.ENSP00000347978,9606.ENSP00000055077,6.0,31.0
38,9606.ENSP00000376272,9606.ENSP00000216225,10.0,15.0
39,9606.ENSP00000467024,9606.ENSP00000216225,20.0,15.0
40,9606.ENSP00000350708,9606.ENSP00000216225,14.0,15.0
41,9606.ENSP00000261245,9606.ENSP00000216225,0.0,15.0
42,9606.ENSP00000364270,9606.ENSP00000216225,33.0,15.0
43,9606.ENSP00000408295,9606.ENSP00000216367,12.0,24.0
44,9606.ENSP00000263274,9606.ENSP00000216367,37.0,24.0
45,9606.ENSP00000368458,9606.ENSP00000216367,21.0,24.0
46,9606.ENSP00000362131,9606.ENSP00000216367,22.0,24.0
47,9606.ENSP00000384109,9606.ENSP00000216367,39.0,24.0
48,9606.ENSP00000254719,9606.ENSP00000216367,13.0,24.0
49,9606.ENSP00000301764,9606.ENSP00000216367,23.0,24.0
50,9606.ENSP00000311368,9606.ENSP00000216367,8.0,24.0
51,9606.ENSP00000259895,9606.ENSP00000216367,42.0,24.0
52,9606.ENSP00000363017,9606.ENSP00000216367,19.0,24.0
53,9606.ENSP00000364589,9606.ENSP00000216367,38.0,24.0
54,9606.ENSP00000310520,9606.ENSP00000216367,2.0,24.0
55,9606.ENSP00000371321,9606.ENSP00000216367,29.0,24.0
56,9606.ENSP00000375809,9606.ENSP00000216367,9.0,24.0
57,9606.ENSP00000369411,9606.ENSP00000216367,30.0,24.0
58,9606.ENSP00000223129,9606.ENSP00000216367,17.0,24.0
59,9606.ENSP00000350708,9606.ENSP00000223129,14.0,17.0
60,9606.ENSP00000256443,9606.ENSP00000223129,36.0,17.0
61,9606.ENSP00000263274,9606.ENSP00000223129,37.0,17.0
62,9606.ENSP00000408295,9606.ENSP00000223129,12.0,17.0
63,9606.ENSP00000347978,9606.ENSP00000223129,6.0,17.0
64,9606.ENSP00000263681,9606.ENSP00000223129,18.0,17.0
65,9606.ENSP00000301764,9606.ENSP00000223129,23.0,17.0
66,9606.ENSP00000285398,9606.ENSP00000223129,4.0,17.0
67,9606.ENSP00000256996,9606.ENSP00000223129,16.0,17.0
68,9606.ENSP00000265038,9606.ENSP00000223129,40.0,17.0
69,9606.ENSP00000310520,9606.ENSP00000223129,2.0,17.0
70,9606.ENSP00000445162,9606.ENSP00000223129,43.0,17.0
71,9606.ENSP00000259895,9606.ENSP00000223129,42.0,17.0
72,9606.ENSP00000261245,9606.ENSP00000223129,0.0,17.0
73,9606.ENSP00000285021,9606.ENSP00000223129,32.0,17.0
74,9606.ENSP00000265963,9606.ENSP00000223129,35.0,17.0
75,9606.ENSP00000376272,9606.ENSP00000223129,10.0,17.0
76,9606.ENSP00000476100,9606.ENSP00000223129,7.0,17.0
77,9606.ENSP00000467024,9606.ENSP00000223129,20.0,17.0
78,9606.ENSP00000364270,9606.ENSP00000223129,33.0,17.0
79,9606.ENSP00000480186,9606.ENSP00000223129,27.0,17.0
80,9606.ENSP00000256897,9606.ENSP00000223129,41.0,17.0
81,9606.ENSP00000371321,9606.ENSP00000223129,29.0,17.0
82,9606.ENSP00000375809,9606.ENSP00000223129,9.0,17.0
83,9606.ENSP00000369411,9606.ENSP00000223129,30.0,17.0
84,9606.ENSP00000263681,9606.ENSP00000254719,18.0,13.0
85,9606.ENSP00000285398,9606.ENSP00000254719,4.0,13.0
86,9606.ENSP00000256996,9606.ENSP00000254719,16.0,13.0
87,9606.ENSP00000347978,9606.ENSP00000254719,6.0,13.0
88,9606.ENSP00000322570,9606.ENSP00000254719,28.0,13.0
89,9606.ENSP00000375809,9606.ENSP00000254719,9.0,13.0
90,9606.ENSP00000285021,9606.ENSP00000254719,32.0,13.0
91,9606.ENSP00000265963,9606.ENSP00000254719,35.0,13.0
92,9606.ENSP00000301764,9606.ENSP00000254719,23.0,13.0
93,9606.ENSP00000350708,9606.ENSP00000254719,14.0,13.0
94,9606.ENSP00000263274,9606.ENSP00000254719,37.0,13.0
95,9606.ENSP00000371321,9606.ENSP00000254719,29.0,13.0
96,9606.ENSP00000310520,9606.ENSP00000256443,2.0,36.0
97,9606.ENSP00000265038,9606.ENSP00000256443,40.0,36.0
98,9606.ENSP00000359300,9606.ENSP00000256443,11.0,36.0
99,9606.ENSP00000467024,9606.ENSP00000256443,20.0,36.0
100,9606.ENSP00000350708,9606.ENSP00000256443,14.0,36.0
101,9606.ENSP00000301764,9606.ENSP00000256443,23.0,36.0
102,9606.ENSP00000363017,9606.ENSP00000256443,19.0,36.0
103,9606.ENSP00000364270,9606.ENSP00000256443,33.0,36.0
104,9606.ENSP00000347978,9606.ENSP00000256443,6.0,36.0
105,9606.ENSP00000256996,9606.ENSP00000256443,16.0,36.0
106,9606.ENSP00000256996,9606.ENSP00000256897,16.0,41.0
107,9606.ENSP00000347978,9606.ENSP00000256897,6.0,41.0
108,9606.ENSP00000364270,9606.ENSP00000256897,33.0,41.0
109,9606.ENSP00000285021,9606.ENSP00000256897,32.0,41.0
110,9606.ENSP00000301764,9606.ENSP00000256897,23.0,41.0
111,9606.ENSP00000350708,9606.ENSP00000256897,14.0,41.0
112,9606.ENSP00000467024,9606.ENSP00000256897,20.0,41.0
113,9606.ENSP00000359300,9606.ENSP00000256897,11.0,41.0
114,9606.ENSP00000310520,9606.ENSP00000256897,2.0,41.0
115,9606.ENSP00000265038,9606.ENSP00000256897,40.0,41.0
116,9606.ENSP00000347978,9606.ENSP00000256996,6.0,16.0
117,9606.ENSP00000328901,9606.ENSP00000256996,34.0,16.0
118,9606.ENSP00000408295,9606.ENSP00000256996,12.0,16.0
119,9606.ENSP00000368458,9606.ENSP00000256996,21.0,16.0
120,9606.ENSP00000350708,9606.ENSP00000256996,14.0,16.0
121,9606.ENSP00000285398,9606.ENSP00000256996,4.0,16.0
122,9606.ENSP00000265963,9606.ENSP00000256996,35.0,16.0
123,9606.ENSP00000259895,9606.ENSP00000256996,42.0,16.0
124,9606.ENSP00000445162,9606.ENSP00000256996,43.0,16.0
125,9606.ENSP00000359300,9606.ENSP00000256996,11.0,16.0
126,9606.ENSP00000363017,9606.ENSP00000256996,19.0,16.0
127,9606.ENSP00000261245,9606.ENSP00000256996,0.0,16.0
128,9606.ENSP00000265038,9606.ENSP00000256996,40.0,16.0
129,9606.ENSP00000310520,9606.ENSP00000256996,2.0,16.0
130,9606.ENSP00000375809,9606.ENSP00000256996,9.0,16.0
131,9606.ENSP00000476100,9606.ENSP00000256996,7.0,16.0
132,9606.ENSP00000467024,9606.ENSP00000256996,20.0,16.0
133,9606.ENSP00000406046,9606.ENSP00000259895,26.0,42.0
134,9606.ENSP00000347978,9606.ENSP00000259895,6.0,42.0
135,9606.ENSP00000263681,9606.ENSP00000259895,18.0,42.0
136,9606.ENSP00000285021,9606.ENSP00000259895,32.0,42.0
137,9606.ENSP00000322570,9606.ENSP00000259895,28.0,42.0
138,9606.ENSP00000350708,9606.ENSP00000259895,14.0,42.0
139,9606.ENSP00000301764,9606.ENSP00000259895,23.0,42.0
140,9606.ENSP00000265038,9606.ENSP00000259895,40.0,42.0
141,9606.ENSP00000310520,9606.ENSP00000259895,2.0,42.0
142,9606.ENSP00000359300,9606.ENSP00000259895,11.0,42.0
143,9606.ENSP00000480186,9606.ENSP00000259895,27.0,42.0
144,9606.ENSP00000467024,9606.ENSP00000259895,20.0,42.0
145,9606.ENSP00000350708,9606.ENSP00000261245,14.0,0.0
146,9606.ENSP00000347978,9606.ENSP00000261245,6.0,0.0
147,9606.ENSP00000301764,9606.ENSP00000261245,23.0,0.0
148,9606.ENSP00000265038,9606.ENSP00000261245,40.0,0.0
149,9606.ENSP00000310520,9606.ENSP00000261245,2.0,0.0
150,9606.ENSP00000285021,9606.ENSP00000261245,32.0,0.0
151,9606.ENSP00000467024,9606.ENSP00000261245,20.0,0.0
152,9606.ENSP00000364270,9606.ENSP00000261245,33.0,0.0
153,9606.ENSP00000263681,9606.ENSP00000263274,18.0,37.0
154,9606.ENSP00000364270,9606.ENSP00000263274,33.0,37.0
155,9606.ENSP00000375809,9606.ENSP00000263274,9.0,37.0
156,9606.ENSP00000311368,9606.ENSP00000263274,8.0,37.0
157,9606.ENSP00000363017,9606.ENSP00000263274,19.0,37.0
158,9606.ENSP00000363286,9606.ENSP00000263274,3.0,37.0
159,9606.ENSP00000350708,9606.ENSP00000263274,14.0,37.0
160,9606.ENSP00000408295,9606.ENSP00000263274,12.0,37.0
161,9606.ENSP00000480186,9606.ENSP00000263274,27.0,37.0
162,9606.ENSP00000467024,9606.ENSP00000263274,20.0,37.0
163,9606.ENSP00000369411,9606.ENSP00000263274,30.0,37.0
164,9606.ENSP00000371321,9606.ENSP00000263274,29.0,37.0
