,protein1,protein2,id1,id2
0,9606.ENSP00000325863,9606.ENSP00000223129,18.0,14.0
1,9606.ENSP00000351284,9606.ENSP00000223129,4.0,14.0
2,9606.ENSP00000419471,9606.ENSP00000223129,2.0,14.0
3,9606.ENSP00000369497,9606.ENSP00000223129,19.0,14.0
4,9606.ENSP00000263681,9606.ENSP00000223129,12.0,14.0
5,9606.ENSP00000352271,9606.ENSP00000223129,6.0,14.0
6,9606.ENSP00000347232,9606.ENSP00000223129,8.0,14.0
7,9606.ENSP00000419665,9606.ENSP00000223129,27.0,14.0
8,9606.ENSP00000336701,9606.ENSP00000223129,17.0,14.0
9,9606.ENSP00000480186,9606.ENSP00000223129,21.0,14.0
10,9606.ENSP00000442336,9606.ENSP00000223129,23.0,14.0
11,9606.ENSP00000451974,9606.ENSP00000223129,1.0,14.0
12,9606.ENSP00000352271,9606.ENSP00000254719,6.0,10.0
13,9606.ENSP00000263681,9606.ENSP00000254719,12.0,10.0
14,9606.ENSP00000369497,9606.ENSP00000254719,19.0,10.0
15,9606.ENSP00000381773,9606.ENSP00000254719,26.0,10.0
16,9606.ENSP00000368100,9606.ENSP00000254719,13.0,10.0
17,9606.ENSP00000442336,9606.ENSP00000254719,23.0,10.0
18,9606.ENSP00000307853,9606.ENSP00000254719,22.0,10.0
19,9606.ENSP00000419665,9606.ENSP00000254719,27.0,10.0
20,9606.ENSP00000265433,9606.ENSP00000254719,3.0,10.0
21,9606.ENSP00000307853,9606.ENSP00000263681,22.0,12.0
22,9606.ENSP00000362131,9606.ENSP00000263681,16.0,12.0
23,9606.ENSP00000347232,9606.ENSP00000263681,8.0,12.0
24,9606.ENSP00000352271,9606.ENSP00000263681,6.0,12.0
25,9606.ENSP00000369497,9606.ENSP00000263681,19.0,12.0
26,9606.ENSP00000325863,9606.ENSP00000263681,18.0,12.0
27,9606.ENSP00000419471,9606.ENSP00000263681,2.0,12.0
28,9606.ENSP00000265433,9606.ENSP00000263681,3.0,12.0
29,9606.ENSP00000351284,9606.ENSP00000263681,4.0,12.0
30,9606.ENSP00000451974,9606.ENSP00000263681,1.0,12.0
31,9606.ENSP00000442336,9606.ENSP00000263681,23.0,12.0
32,9606.ENSP00000336701,9606.ENSP00000263681,17.0,12.0
33,9606.ENSP00000368100,9606.ENSP00000263681,13.0,12.0
34,9606.ENSP00000363017,9606.ENSP00000263681,15.0,12.0
35,9606.ENSP00000406046,9606.ENSP00000265433,20.0,3.0
36,9606.ENSP00000351284,9606.ENSP00000265433,4.0,3.0
37,9606.ENSP00000419471,9606.ENSP00000265433,2.0,3.0
38,9606.ENSP00000369497,9606.ENSP00000265433,19.0,3.0
39,9606.ENSP00000352271,9606.ENSP00000265433,6.0,3.0
40,9606.ENSP00000419665,9606.ENSP00000265433,27.0,3.0
41,9606.ENSP00000347232,9606.ENSP00000265433,8.0,3.0
42,9606.ENSP00000307853,9606.ENSP00000265433,22.0,3.0
43,9606.ENSP00000363017,9606.ENSP00000265433,15.0,3.0
44,9606.ENSP00000311368,9606.ENSP00000265433,7.0,3.0
45,9606.ENSP00000480186,9606.ENSP00000265433,21.0,3.0
46,9606.ENSP00000336701,9606.ENSP00000265433,17.0,3.0
47,9606.ENSP00000376952,9606.ENSP00000265433,9.0,3.0
48,9606.ENSP00000451974,9606.ENSP00000265433,1.0,3.0
49,9606.ENSP00000352271,9606.ENSP00000307853,6.0,22.0
50,9606.ENSP00000336606,9606.ENSP00000307853,24.0,22.0
51,9606.ENSP00000361043,9606.ENSP00000307853,0.0,22.0
52,9606.ENSP00000381773,9606.ENSP00000307853,26.0,22.0
53,9606.ENSP00000368100,9606.ENSP00000307853,13.0,22.0
54,9606.ENSP00000369497,9606.ENSP00000311368,19.0,7.0
55,9606.ENSP00000325863,9606.ENSP00000311368,18.0,7.0
56,9606.ENSP00000419471,9606.ENSP00000311368,2.0,7.0
57,9606.ENSP00000451974,9606.ENSP00000311368,1.0,7.0
58,9606.ENSP00000442336,9606.ENSP00000311368,23.0,7.0
59,9606.ENSP00000347232,9606.ENSP00000311368,8.0,7.0
60,9606.ENSP00000352271,9606.ENSP00000311368,6.0,7.0
61,9606.ENSP00000336701,9606.ENSP00000311368,17.0,7.0
62,9606.ENSP00000368100,9606.ENSP00000311368,13.0,7.0
63,9606.ENSP00000480186,9606.ENSP00000325863,21.0,18.0
64,9606.ENSP00000361043,9606.ENSP00000325863,0.0,18.0
65,9606.ENSP00000336701,9606.ENSP00000325863,17.0,18.0
66,9606.ENSP00000376952,9606.ENSP00000325863,9.0,18.0
67,9606.ENSP00000442336,9606.ENSP00000325863,23.0,18.0
68,9606.ENSP00000451974,9606.ENSP00000325863,1.0,18.0
69,9606.ENSP00000363017,9606.ENSP00000325863,15.0,18.0
70,9606.ENSP00000352271,9606.ENSP00000325863,6.0,18.0
71,9606.ENSP00000336606,9606.ENSP00000325863,24.0,18.0
72,9606.ENSP00000419471,9606.ENSP00000325863,2.0,18.0
73,9606.ENSP00000351284,9606.ENSP00000325863,4.0,18.0
74,9606.ENSP00000369497,9606.ENSP00000325863,19.0,18.0
75,9606.ENSP00000369497,9606.ENSP00000336606,19.0,24.0
76,9606.ENSP00000419471,9606.ENSP00000336606,2.0,24.0
77,9606.ENSP00000347232,9606.ENSP00000336606,8.0,24.0
78,9606.ENSP00000442336,9606.ENSP00000336606,23.0,24.0
79,9606.ENSP00000361043,9606.ENSP00000336606,0.0,24.0
80,9606.ENSP00000451974,9606.ENSP00000336606,1.0,24.0
81,9606.ENSP00000336701,9606.ENSP00000336606,17.0,24.0
82,9606.ENSP00000351284,9606.ENSP00000336701,4.0,17.0
83,9606.ENSP00000347232,9606.ENSP00000336701,8.0,17.0
84,9606.ENSP00000363017,9606.ENSP00000336701,15.0,17.0
85,9606.ENSP00000442336,9606.ENSP00000336701,23.0,17.0
86,9606.ENSP00000376952,9606.ENSP00000336701,9.0,17.0
87,9606.ENSP00000361043,9606.ENSP00000336701,0.0,17.0
88,9606.ENSP00000368100,9606.ENSP00000336701,13.0,17.0
89,9606.ENSP00000480186,9606.ENSP00000336701,21.0,17.0
90,9606.ENSP00000480186,9606.ENSP00000347232,21.0,8.0
91,9606.ENSP00000419471,9606.ENSP00000347232,2.0,8.0
92,9606.ENSP00000369497,9606.ENSP00000347232,19.0,8.0
93,9606.ENSP00000352271,9606.ENSP00000347232,6.0,8.0
94,9606.ENSP00000362131,9606.ENSP00000347232,16.0,8.0
95,9606.ENSP00000381773,9606.ENSP00000347232,26.0,8.0
96,9606.ENSP00000361043,9606.ENSP00000347232,0.0,8.0
97,9606.ENSP00000406046,9606.ENSP00000351284,20.0,4.0
98,9606.ENSP00000419471,9606.ENSP00000351284,2.0,4.0
99,9606.ENSP00000369497,9606.ENSP00000351284,19.0,4.0
100,9606.ENSP00000361043,9606.ENSP00000351284,0.0,4.0
101,9606.ENSP00000376952,9606.ENSP00000351284,9.0,4.0
102,9606.ENSP00000406046,9606.ENSP00000352271,20.0,6.0
103,9606.ENSP00000363017,9606.ENSP00000352271,15.0,6.0
104,9606.ENSP00000368100,9606.ENSP00000352271,13.0,6.0
105,9606.ENSP00000480186,9606.ENSP00000352271,21.0,6.0
106,9606.ENSP00000376952,9606.ENSP00000352271,9.0,6.0
107,9606.ENSP00000451974,9606.ENSP00000361043,1.0,0.0
108,9606.ENSP00000406046,9606.ENSP00000361043,20.0,0.0
109,9606.ENSP00000419471,9606.ENSP00000361043,2.0,0.0
110,9606.ENSP00000369497,9606.ENSP00000361043,19.0,0.0
111,9606.ENSP00000376952,9606.ENSP00000361043,9.0,0.0
112,9606.ENSP00000442336,9606.ENSP00000361043,23.0,0.0
113,9606.ENSP00000363017,9606.ENSP00000362131,15.0,16.0
114,9606.ENSP00000442336,9606.ENSP00000362131,23.0,16.0
115,9606.ENSP00000381773,9606.ENSP00000362131,26.0,16.0
116,9606.ENSP00000480186,9606.ENSP00000362131,21.0,16.0
117,9606.ENSP00000406046,9606.ENSP00000362131,20.0,16.0
118,9606.ENSP00000369497,9606.ENSP00000363017,19.0,15.0
119,9606.ENSP00000419471,9606.ENSP00000363017,2.0,15.0
120,9606.ENSP00000451974,9606.ENSP00000363017,1.0,15.0
121,9606.ENSP00000442336,9606.ENSP00000363017,23.0,15.0
122,9606.ENSP00000480186,9606.ENSP00000363017,21.0,15.0
123,9606.ENSP00000369497,9606.ENSP00000368100,19.0,13.0
124,9606.ENSP00000419471,9606.ENSP00000368100,2.0,13.0
125,9606.ENSP00000406046,9606.ENSP00000368100,20.0,13.0
126,9606.ENSP00000376952,9606.ENSP00000368100,9.0,13.0
127,9606.ENSP00000442336,9606.ENSP00000368100,23.0,13.0
128,9606.ENSP00000451974,9606.ENSP00000368100,1.0,13.0
129,9606.ENSP00000480186,9606.ENSP00000368100,21.0,13.0
130,9606.ENSP00000480186,9606.ENSP00000369497,21.0,19.0
131,9606.ENSP00000376952,9606.ENSP00000369497,9.0,19.0
132,9606.ENSP00000442336,9606.ENSP00000369497,23.0,19.0
133,9606.ENSP00000419471,9606.ENSP00000376952,2.0,9.0
134,9606.ENSP00000442336,9606.ENSP00000381773,23.0,26.0
135,9606.ENSP00000419471,9606.ENSP00000406046,2.0,20.0
136,9606.ENSP00000442336,9606.ENSP00000406046,23.0,20.0
137,9606.ENSP00000480186,9606.ENSP00000419471,21.0,2.0
138,9606.ENSP00000442336,9606.ENSP00000419471,23.0,2.0
139,9606.ENSP00000451974,9606.ENSP00000442336,1.0,23.0
140,9606.ENSP00000480186,9606.ENSP00000442336,21.0,23.0
141,9606.ENSP00000480186,9606.ENSP00000451974,21.0,1.0
