,protein1,protein2,id1,id2
0,9606.ENSP00000288139,9606.ENSP00000005284,221.0,119.0
1,9606.ENSP00000365441,9606.ENSP00000005284,229.0,119.0
2,9606.ENSP00000355192,9606.ENSP00000005284,230.0,119.0
3,9606.ENSP00000252729,9606.ENSP00000005284,143.0,119.0
4,9606.ENSP00000438949,9606.ENSP00000005284,203.0,119.0
5,9606.ENSP00000372169,9606.ENSP00000005284,238.0,119.0
6,9606.ENSP00000226021,9606.ENSP00000005284,205.0,119.0
7,9606.ENSP00000266376,9606.ENSP00000005284,227.0,119.0
8,9606.ENSP00000377840,9606.ENSP00000005284,198.0,119.0
9,9606.ENSP00000301050,9606.ENSP00000005284,202.0,119.0
10,9606.ENSP00000375647,9606.ENSP00000005284,145.0,119.0
11,9606.ENSP00000320025,9606.ENSP00000005284,200.0,119.0
12,9606.ENSP00000360423,9606.ENSP00000005284,224.0,119.0
13,9606.ENSP00000300105,9606.ENSP00000005284,117.0,119.0
14,9606.ENSP00000436836,9606.ENSP00000005284,52.0,119.0
15,9606.ENSP00000378199,9606.ENSP00000005284,220.0,119.0
16,9606.ENSP00000270458,9606.ENSP00000005284,140.0,119.0
17,9606.ENSP00000353362,9606.ENSP00000005284,217.0,119.0
18,9606.ENSP00000334198,9606.ENSP00000005284,131.0,119.0
19,9606.ENSP00000356545,9606.ENSP00000005284,222.0,119.0
20,9606.ENSP00000262138,9606.ENSP00000005284,53.0,119.0
21,9606.ENSP00000432083,9606.ENSP00000012443,172.0,141.0
22,9606.ENSP00000340820,9606.ENSP00000012443,127.0,141.0
23,9606.ENSP00000256078,9606.ENSP00000012443,31.0,141.0
24,9606.ENSP00000251849,9606.ENSP00000012443,207.0,141.0
25,9606.ENSP00000407586,9606.ENSP00000012443,116.0,141.0
26,9606.ENSP00000263025,9606.ENSP00000012443,236.0,141.0
27,9606.ENSP00000288602,9606.ENSP00000012443,156.0,141.0
28,9606.ENSP00000215832,9606.ENSP00000012443,244.0,141.0
29,9606.ENSP00000358548,9606.ENSP00000012443,20.0,141.0
30,9606.ENSP00000351908,9606.ENSP00000012443,9.0,141.0
31,9606.ENSP00000294066,9606.ENSP00000162749,246.0,232.0
32,9606.ENSP00000482657,9606.ENSP00000162749,179.0,232.0
33,9606.ENSP00000263881,9606.ENSP00000162749,150.0,232.0
34,9606.ENSP00000363668,9606.ENSP00000162749,163.0,232.0
35,9606.ENSP00000311032,9606.ENSP00000162749,97.0,232.0
36,9606.ENSP00000354927,9606.ENSP00000162749,11.0,232.0
37,9606.ENSP00000343658,9606.ENSP00000162749,154.0,232.0
38,9606.ENSP00000468348,9606.ENSP00000162749,94.0,232.0
39,9606.ENSP00000351908,9606.ENSP00000162749,9.0,232.0
40,9606.ENSP00000216160,9606.ENSP00000162749,135.0,232.0
41,9606.ENSP00000386380,9606.ENSP00000162749,258.0,232.0
42,9606.ENSP00000275493,9606.ENSP00000162749,248.0,232.0
43,9606.ENSP00000263341,9606.ENSP00000162749,255.0,232.0
44,9606.ENSP00000381070,9606.ENSP00000162749,87.0,232.0
45,9606.ENSP00000226574,9606.ENSP00000162749,25.0,232.0
46,9606.ENSP00000345083,9606.ENSP00000162749,81.0,232.0
47,9606.ENSP00000376345,9606.ENSP00000162749,108.0,232.0
48,9606.ENSP00000410402,9606.ENSP00000162749,146.0,232.0
49,9606.ENSP00000292408,9606.ENSP00000168712,93.0,67.0
50,9606.ENSP00000358548,9606.ENSP00000168712,20.0,67.0
51,9606.ENSP00000256078,9606.ENSP00000168712,31.0,67.0
52,9606.ENSP00000215832,9606.ENSP00000168712,244.0,67.0
53,9606.ENSP00000261799,9606.ENSP00000168712,148.0,67.0
54,9606.ENSP00000257290,9606.ENSP00000168712,185.0,67.0
55,9606.ENSP00000265171,9606.ENSP00000168712,250.0,67.0
56,9606.ENSP00000263025,9606.ENSP00000168712,236.0,67.0
57,9606.ENSP00000407586,9606.ENSP00000168712,116.0,67.0
58,9606.ENSP00000275493,9606.ENSP00000168712,248.0,67.0
59,9606.ENSP00000339824,9606.ENSP00000168712,99.0,67.0
60,9606.ENSP00000375986,9606.ENSP00000178640,12.0,91.0
61,9606.ENSP00000397297,9606.ENSP00000178640,257.0,91.0
62,9606.ENSP00000382423,9606.ENSP00000178640,10.0,91.0
63,9606.ENSP00000431418,9606.ENSP00000178640,265.0,91.0
64,9606.ENSP00000358525,9606.ENSP00000178640,177.0,91.0
65,9606.ENSP00000414303,9606.ENSP00000178640,40.0,91.0
66,9606.ENSP00000263056,9606.ENSP00000178640,14.0,91.0
67,9606.ENSP00000215832,9606.ENSP00000180166,244.0,166.0
68,9606.ENSP00000393312,9606.ENSP00000180166,100.0,166.0
69,9606.ENSP00000358548,9606.ENSP00000180166,20.0,166.0
70,9606.ENSP00000256078,9606.ENSP00000180166,31.0,166.0
71,9606.ENSP00000292408,9606.ENSP00000180166,93.0,166.0
72,9606.ENSP00000275493,9606.ENSP00000180166,248.0,166.0
73,9606.ENSP00000339824,9606.ENSP00000180166,99.0,166.0
74,9606.ENSP00000407586,9606.ENSP00000180166,116.0,166.0
75,9606.ENSP00000410294,9606.ENSP00000180166,86.0,166.0
76,9606.ENSP00000263025,9606.ENSP00000180166,236.0,166.0
77,9606.ENSP00000261799,9606.ENSP00000180166,148.0,166.0
78,9606.ENSP00000265171,9606.ENSP00000180166,250.0,166.0
79,9606.ENSP00000375986,9606.ENSP00000211287,12.0,84.0
80,9606.ENSP00000245960,9606.ENSP00000211287,191.0,84.0
81,9606.ENSP00000239223,9606.ENSP00000211287,36.0,84.0
82,9606.ENSP00000333685,9606.ENSP00000211287,76.0,84.0
83,9606.ENSP00000340820,9606.ENSP00000211287,127.0,84.0
84,9606.ENSP00000288943,9606.ENSP00000211287,37.0,84.0
85,9606.ENSP00000350681,9606.ENSP00000211287,2.0,84.0
86,9606.ENSP00000309116,9606.ENSP00000211287,214.0,84.0
87,9606.ENSP00000451828,9606.ENSP00000211287,15.0,84.0
88,9606.ENSP00000340874,9606.ENSP00000211287,1.0,84.0
89,9606.ENSP00000356070,9606.ENSP00000211287,249.0,84.0
90,9606.ENSP00000333896,9606.ENSP00000211287,237.0,84.0
91,9606.ENSP00000314067,9606.ENSP00000211287,210.0,84.0
92,9606.ENSP00000215659,9606.ENSP00000211287,169.0,84.0
93,9606.ENSP00000345083,9606.ENSP00000211287,81.0,84.0
94,9606.ENSP00000449381,9606.ENSP00000211287,168.0,84.0
95,9606.ENSP00000483056,9606.ENSP00000211287,3.0,84.0
96,9606.ENSP00000479667,9606.ENSP00000211287,155.0,84.0
97,9606.ENSP00000302486,9606.ENSP00000211287,85.0,84.0
98,9606.ENSP00000375892,9606.ENSP00000211287,16.0,84.0
99,9606.ENSP00000479618,9606.ENSP00000211287,26.0,84.0
100,9606.ENSP00000216160,9606.ENSP00000211287,135.0,84.0
101,9606.ENSP00000278568,9606.ENSP00000211287,188.0,84.0
102,9606.ENSP00000448665,9606.ENSP00000211287,178.0,84.0
103,9606.ENSP00000229795,9606.ENSP00000211287,28.0,84.0
104,9606.ENSP00000348461,9606.ENSP00000211287,242.0,84.0
105,9606.ENSP00000351908,9606.ENSP00000211287,9.0,84.0
106,9606.ENSP00000283228,9606.ENSP00000211287,174.0,84.0
107,9606.ENSP00000410452,9606.ENSP00000211287,7.0,84.0
108,9606.ENSP00000263826,9606.ENSP00000211287,164.0,84.0
109,9606.ENSP00000226004,9606.ENSP00000211287,48.0,84.0
110,9606.ENSP00000306245,9606.ENSP00000211287,136.0,84.0
111,9606.ENSP00000351342,9606.ENSP00000211287,70.0,84.0
112,9606.ENSP00000383118,9606.ENSP00000211287,195.0,84.0
113,9606.ENSP00000215832,9606.ENSP00000211287,244.0,84.0
114,9606.ENSP00000262948,9606.ENSP00000211287,79.0,84.0
115,9606.ENSP00000355866,9606.ENSP00000211287,60.0,84.0
116,9606.ENSP00000380530,9606.ENSP00000211287,228.0,84.0
117,9606.ENSP00000417183,9606.ENSP00000211287,44.0,84.0
