,protein1,protein2,id1,id2
0,9606.ENSP00000364249,9606.ENSP00000215885,21.0,6.0
1,9606.ENSP00000393847,9606.ENSP00000215885,18.0,6.0
2,9606.ENSP00000312286,9606.ENSP00000215885,37.0,6.0
3,9606.ENSP00000364246,9606.ENSP00000215885,55.0,6.0
4,9606.ENSP00000333212,9606.ENSP00000215885,36.0,6.0
5,9606.ENSP00000356438,9606.ENSP00000215885,22.0,6.0
6,9606.ENSP00000363512,9606.ENSP00000215885,2.0,6.0
7,9606.ENSP00000364243,9606.ENSP00000215885,26.0,6.0
8,9606.ENSP00000364257,9606.ENSP00000215885,17.0,6.0
9,9606.ENSP00000354612,9606.ENSP00000215885,24.0,6.0
10,9606.ENSP00000458832,9606.ENSP00000215885,14.0,6.0
11,9606.ENSP00000243501,9606.ENSP00000215885,56.0,6.0
12,9606.ENSP00000383364,9606.ENSP00000215885,19.0,6.0
13,9606.ENSP00000315167,9606.ENSP00000215885,9.0,6.0
14,9606.ENSP00000221700,9606.ENSP00000221307,10.0,46.0
15,9606.ENSP00000311095,9606.ENSP00000221307,3.0,46.0
16,9606.ENSP00000360958,9606.ENSP00000221307,42.0,46.0
17,9606.ENSP00000458832,9606.ENSP00000221307,14.0,46.0
18,9606.ENSP00000440689,9606.ENSP00000221307,1.0,46.0
19,9606.ENSP00000360247,9606.ENSP00000221307,4.0,46.0
20,9606.ENSP00000396045,9606.ENSP00000221307,25.0,46.0
21,9606.ENSP00000363512,9606.ENSP00000221307,2.0,46.0
22,9606.ENSP00000354612,9606.ENSP00000221307,24.0,46.0
23,9606.ENSP00000251535,9606.ENSP00000221307,27.0,46.0
24,9606.ENSP00000315167,9606.ENSP00000221307,9.0,46.0
25,9606.ENSP00000324648,9606.ENSP00000221307,34.0,46.0
26,9606.ENSP00000312286,9606.ENSP00000221307,37.0,46.0
27,9606.ENSP00000333212,9606.ENSP00000221307,36.0,46.0
28,9606.ENSP00000369530,9606.ENSP00000221307,13.0,46.0
29,9606.ENSP00000360372,9606.ENSP00000221307,31.0,46.0
30,9606.ENSP00000260682,9606.ENSP00000221307,28.0,46.0
31,9606.ENSP00000360317,9606.ENSP00000221307,32.0,46.0
32,9606.ENSP00000228740,9606.ENSP00000221307,38.0,46.0
33,9606.ENSP00000356438,9606.ENSP00000221307,22.0,46.0
34,9606.ENSP00000333142,9606.ENSP00000221307,16.0,46.0
35,9606.ENSP00000440689,9606.ENSP00000221700,1.0,10.0
36,9606.ENSP00000324648,9606.ENSP00000221700,34.0,10.0
37,9606.ENSP00000369530,9606.ENSP00000221700,13.0,10.0
38,9606.ENSP00000333212,9606.ENSP00000221700,36.0,10.0
39,9606.ENSP00000311095,9606.ENSP00000221700,3.0,10.0
40,9606.ENSP00000360958,9606.ENSP00000221700,42.0,10.0
41,9606.ENSP00000354612,9606.ENSP00000221700,24.0,10.0
42,9606.ENSP00000251535,9606.ENSP00000221700,27.0,10.0
43,9606.ENSP00000315167,9606.ENSP00000221700,9.0,10.0
44,9606.ENSP00000458832,9606.ENSP00000221700,14.0,10.0
45,9606.ENSP00000228740,9606.ENSP00000221700,38.0,10.0
46,9606.ENSP00000360317,9606.ENSP00000221700,32.0,10.0
47,9606.ENSP00000333142,9606.ENSP00000221700,16.0,10.0
48,9606.ENSP00000356438,9606.ENSP00000221700,22.0,10.0
49,9606.ENSP00000363512,9606.ENSP00000221700,2.0,10.0
50,9606.ENSP00000260682,9606.ENSP00000221700,28.0,10.0
51,9606.ENSP00000360372,9606.ENSP00000221700,31.0,10.0
52,9606.ENSP00000360247,9606.ENSP00000221700,4.0,10.0
53,9606.ENSP00000362123,9606.ENSP00000221700,23.0,10.0
54,9606.ENSP00000383364,9606.ENSP00000243501,19.0,56.0
55,9606.ENSP00000364257,9606.ENSP00000243501,17.0,56.0
56,9606.ENSP00000364243,9606.ENSP00000243501,26.0,56.0
57,9606.ENSP00000363512,9606.ENSP00000243501,2.0,56.0
58,9606.ENSP00000356438,9606.ENSP00000243501,22.0,56.0
59,9606.ENSP00000333212,9606.ENSP00000243501,36.0,56.0
60,9606.ENSP00000364246,9606.ENSP00000243501,55.0,56.0
61,9606.ENSP00000312286,9606.ENSP00000243501,37.0,56.0
62,9606.ENSP00000364249,9606.ENSP00000243501,21.0,56.0
63,9606.ENSP00000295256,9606.ENSP00000244043,52.0,8.0
64,9606.ENSP00000389414,9606.ENSP00000244043,57.0,8.0
65,9606.ENSP00000360687,9606.ENSP00000244043,54.0,8.0
66,9606.ENSP00000354612,9606.ENSP00000247992,24.0,53.0
67,9606.ENSP00000362123,9606.ENSP00000247992,23.0,53.0
68,9606.ENSP00000356438,9606.ENSP00000247992,22.0,53.0
69,9606.ENSP00000315167,9606.ENSP00000251535,9.0,27.0
70,9606.ENSP00000458832,9606.ENSP00000251535,14.0,27.0
71,9606.ENSP00000356436,9606.ENSP00000251535,20.0,27.0
72,9606.ENSP00000360958,9606.ENSP00000251535,42.0,27.0
73,9606.ENSP00000311095,9606.ENSP00000251535,3.0,27.0
74,9606.ENSP00000369530,9606.ENSP00000251535,13.0,27.0
75,9606.ENSP00000312286,9606.ENSP00000251535,37.0,27.0
76,9606.ENSP00000333212,9606.ENSP00000251535,36.0,27.0
77,9606.ENSP00000364246,9606.ENSP00000251535,55.0,27.0
78,9606.ENSP00000393847,9606.ENSP00000251535,18.0,27.0
79,9606.ENSP00000324648,9606.ENSP00000251535,34.0,27.0
80,9606.ENSP00000440689,9606.ENSP00000251535,1.0,27.0
81,9606.ENSP00000383364,9606.ENSP00000251535,19.0,27.0
82,9606.ENSP00000260682,9606.ENSP00000251535,28.0,27.0
83,9606.ENSP00000360372,9606.ENSP00000251535,31.0,27.0
84,9606.ENSP00000360247,9606.ENSP00000251535,4.0,27.0
85,9606.ENSP00000396045,9606.ENSP00000251535,25.0,27.0
86,9606.ENSP00000333142,9606.ENSP00000251535,16.0,27.0
87,9606.ENSP00000356438,9606.ENSP00000251535,22.0,27.0
88,9606.ENSP00000363512,9606.ENSP00000251535,2.0,27.0
89,9606.ENSP00000360317,9606.ENSP00000251535,32.0,27.0
90,9606.ENSP00000458832,9606.ENSP00000260682,14.0,28.0
91,9606.ENSP00000430269,9606.ENSP00000260682,0.0,28.0
92,9606.ENSP00000360958,9606.ENSP00000260682,42.0,28.0
93,9606.ENSP00000311095,9606.ENSP00000260682,3.0,28.0
94,9606.ENSP00000440689,9606.ENSP00000260682,1.0,28.0
95,9606.ENSP00000362123,9606.ENSP00000260682,23.0,28.0
96,9606.ENSP00000360247,9606.ENSP00000260682,4.0,28.0
97,9606.ENSP00000363512,9606.ENSP00000260682,2.0,28.0
98,9606.ENSP00000315167,9606.ENSP00000260682,9.0,28.0
99,9606.ENSP00000354612,9606.ENSP00000260682,24.0,28.0
100,9606.ENSP00000369530,9606.ENSP00000260682,13.0,28.0
101,9606.ENSP00000295256,9606.ENSP00000260682,52.0,28.0
102,9606.ENSP00000333212,9606.ENSP00000260682,36.0,28.0
103,9606.ENSP00000312286,9606.ENSP00000260682,37.0,28.0
104,9606.ENSP00000324648,9606.ENSP00000260682,34.0,28.0
105,9606.ENSP00000360372,9606.ENSP00000260682,31.0,28.0
106,9606.ENSP00000356438,9606.ENSP00000260682,22.0,28.0
107,9606.ENSP00000360317,9606.ENSP00000260682,32.0,28.0
108,9606.ENSP00000295256,9606.ENSP00000285979,52.0,11.0
109,9606.ENSP00000311095,9606.ENSP00000285979,3.0,11.0
110,9606.ENSP00000360958,9606.ENSP00000285979,42.0,11.0
111,9606.ENSP00000345341,9606.ENSP00000290349,12.0,33.0
112,9606.ENSP00000342385,9606.ENSP00000290349,39.0,33.0
113,9606.ENSP00000290354,9606.ENSP00000290349,35.0,33.0
114,9606.ENSP00000440689,9606.ENSP00000290349,1.0,33.0
115,9606.ENSP00000345341,9606.ENSP00000290354,12.0,35.0
116,9606.ENSP00000342385,9606.ENSP00000290354,39.0,35.0
117,9606.ENSP00000440689,9606.ENSP00000290354,1.0,35.0
118,9606.ENSP00000383232,9606.ENSP00000292596,5.0,48.0
119,9606.ENSP00000381340,9606.ENSP00000292596,51.0,48.0
120,9606.ENSP00000370962,9606.ENSP00000295256,49.0,52.0
121,9606.ENSP00000440689,9606.ENSP00000295256,1.0,52.0
122,9606.ENSP00000346103,9606.ENSP00000295256,45.0,52.0
123,9606.ENSP00000354677,9606.ENSP00000295256,29.0,52.0
124,9606.ENSP00000374265,9606.ENSP00000295256,43.0,52.0
125,9606.ENSP00000342385,9606.ENSP00000295256,39.0,52.0
126,9606.ENSP00000373477,9606.ENSP00000295256,44.0,52.0
127,9606.ENSP00000407375,9606.ENSP00000295256,41.0,52.0
128,9606.ENSP00000338964,9606.ENSP00000295256,50.0,52.0
129,9606.ENSP00000383232,9606.ENSP00000295256,5.0,52.0
130,9606.ENSP00000354581,9606.ENSP00000295256,30.0,52.0
131,9606.ENSP00000324648,9606.ENSP00000295256,34.0,52.0
132,9606.ENSP00000392398,9606.ENSP00000295256,40.0,52.0
133,9606.ENSP00000345341,9606.ENSP00000295256,12.0,52.0
134,9606.ENSP00000354612,9606.ENSP00000295256,24.0,52.0
135,9606.ENSP00000369927,9606.ENSP00000295256,7.0,52.0
136,9606.ENSP00000356438,9606.ENSP00000295256,22.0,52.0
137,9606.ENSP00000360317,9606.ENSP00000295256,32.0,52.0
138,9606.ENSP00000360687,9606.ENSP00000295256,54.0,52.0
