,protein1,protein2,id1,id2
0,9606.ENSP00000367406,9606.ENSP00000237264,2.0,33.0
1,9606.ENSP00000252996,9606.ENSP00000237264,3.0,33.0
2,9606.ENSP00000339917,9606.ENSP00000237264,6.0,33.0
3,9606.ENSP00000399982,9606.ENSP00000237264,28.0,33.0
4,9606.ENSP00000384597,9606.ENSP00000237264,7.0,33.0
5,9606.ENSP00000406549,9606.ENSP00000237264,5.0,33.0
6,9606.ENSP00000361998,9606.ENSP00000237264,4.0,33.0
7,9606.ENSP00000358854,9606.ENSP00000237264,30.0,33.0
8,9606.ENSP00000299424,9606.ENSP00000237264,19.0,33.0
9,9606.ENSP00000247219,9606.ENSP00000237264,0.0,33.0
10,9606.ENSP00000355051,9606.ENSP00000237264,16.0,33.0
11,9606.ENSP00000263974,9606.ENSP00000237264,14.0,33.0
12,9606.ENSP00000418379,9606.ENSP00000237264,1.0,33.0
13,9606.ENSP00000269142,9606.ENSP00000237264,27.0,33.0
14,9606.ENSP00000375942,9606.ENSP00000237264,9.0,33.0
15,9606.ENSP00000370193,9606.ENSP00000237264,18.0,33.0
16,9606.ENSP00000339917,9606.ENSP00000247219,6.0,0.0
17,9606.ENSP00000340823,9606.ENSP00000247219,24.0,0.0
18,9606.ENSP00000294168,9606.ENSP00000247219,23.0,0.0
19,9606.ENSP00000312709,9606.ENSP00000247219,21.0,0.0
20,9606.ENSP00000452454,9606.ENSP00000247219,10.0,0.0
21,9606.ENSP00000367406,9606.ENSP00000247219,2.0,0.0
22,9606.ENSP00000252996,9606.ENSP00000247219,3.0,0.0
23,9606.ENSP00000258281,9606.ENSP00000247219,15.0,0.0
24,9606.ENSP00000377969,9606.ENSP00000247219,25.0,0.0
25,9606.ENSP00000406549,9606.ENSP00000247219,5.0,0.0
26,9606.ENSP00000384597,9606.ENSP00000247219,7.0,0.0
27,9606.ENSP00000283875,9606.ENSP00000247219,29.0,0.0
28,9606.ENSP00000263974,9606.ENSP00000247219,14.0,0.0
29,9606.ENSP00000375942,9606.ENSP00000247219,9.0,0.0
30,9606.ENSP00000418379,9606.ENSP00000247219,1.0,0.0
31,9606.ENSP00000269142,9606.ENSP00000247219,27.0,0.0
32,9606.ENSP00000348168,9606.ENSP00000247219,26.0,0.0
33,9606.ENSP00000299424,9606.ENSP00000247219,19.0,0.0
34,9606.ENSP00000358854,9606.ENSP00000247219,30.0,0.0
35,9606.ENSP00000361998,9606.ENSP00000247219,4.0,0.0
36,9606.ENSP00000355051,9606.ENSP00000247219,16.0,0.0
37,9606.ENSP00000370193,9606.ENSP00000247219,18.0,0.0
38,9606.ENSP00000259895,9606.ENSP00000247219,32.0,0.0
39,9606.ENSP00000354633,9606.ENSP00000247219,13.0,0.0
40,9606.ENSP00000377969,9606.ENSP00000252996,25.0,3.0
41,9606.ENSP00000259895,9606.ENSP00000252996,32.0,3.0
42,9606.ENSP00000445162,9606.ENSP00000252996,34.0,3.0
43,9606.ENSP00000269142,9606.ENSP00000252996,27.0,3.0
44,9606.ENSP00000348168,9606.ENSP00000252996,26.0,3.0
45,9606.ENSP00000283875,9606.ENSP00000252996,29.0,3.0
46,9606.ENSP00000340823,9606.ENSP00000252996,24.0,3.0
47,9606.ENSP00000328901,9606.ENSP00000252996,20.0,3.0
48,9606.ENSP00000452454,9606.ENSP00000252996,10.0,3.0
49,9606.ENSP00000418379,9606.ENSP00000258281,1.0,15.0
50,9606.ENSP00000269142,9606.ENSP00000258281,27.0,15.0
51,9606.ENSP00000375942,9606.ENSP00000258281,9.0,15.0
52,9606.ENSP00000361998,9606.ENSP00000258281,4.0,15.0
53,9606.ENSP00000358854,9606.ENSP00000258281,30.0,15.0
54,9606.ENSP00000452454,9606.ENSP00000258281,10.0,15.0
55,9606.ENSP00000406549,9606.ENSP00000258281,5.0,15.0
56,9606.ENSP00000263974,9606.ENSP00000259895,14.0,32.0
57,9606.ENSP00000355051,9606.ENSP00000259895,16.0,32.0
58,9606.ENSP00000299424,9606.ENSP00000259895,19.0,32.0
59,9606.ENSP00000358854,9606.ENSP00000259895,30.0,32.0
60,9606.ENSP00000370193,9606.ENSP00000259895,18.0,32.0
61,9606.ENSP00000354633,9606.ENSP00000259895,13.0,32.0
62,9606.ENSP00000339917,9606.ENSP00000259895,6.0,32.0
63,9606.ENSP00000399982,9606.ENSP00000259895,28.0,32.0
64,9606.ENSP00000367406,9606.ENSP00000259895,2.0,32.0
65,9606.ENSP00000312709,9606.ENSP00000259895,21.0,32.0
66,9606.ENSP00000406549,9606.ENSP00000259895,5.0,32.0
67,9606.ENSP00000348168,9606.ENSP00000263974,26.0,14.0
68,9606.ENSP00000283875,9606.ENSP00000263974,29.0,14.0
69,9606.ENSP00000328901,9606.ENSP00000263974,20.0,14.0
70,9606.ENSP00000340823,9606.ENSP00000263974,24.0,14.0
71,9606.ENSP00000452454,9606.ENSP00000263974,10.0,14.0
72,9606.ENSP00000361998,9606.ENSP00000263974,4.0,14.0
73,9606.ENSP00000445162,9606.ENSP00000263974,34.0,14.0
74,9606.ENSP00000377969,9606.ENSP00000263974,25.0,14.0
75,9606.ENSP00000340823,9606.ENSP00000265963,24.0,22.0
76,9606.ENSP00000299424,9606.ENSP00000265963,19.0,22.0
77,9606.ENSP00000312709,9606.ENSP00000265963,21.0,22.0
78,9606.ENSP00000359531,9606.ENSP00000269142,11.0,27.0
79,9606.ENSP00000452454,9606.ENSP00000269142,10.0,27.0
80,9606.ENSP00000358854,9606.ENSP00000269142,30.0,27.0
81,9606.ENSP00000361998,9606.ENSP00000269142,4.0,27.0
82,9606.ENSP00000299424,9606.ENSP00000269142,19.0,27.0
